n;ins1_a;ins1_c;ins2_a;ins2_c;mer1_a;mer1_c;mer2_a;mer2_c;heap1_a;heap1_c;heap2_a;heap2_c
657;219094;109219;219252;146294;23201;7516;15830;11749;41522;24776;33599;21887
658;222121;110732;222278;146794;23241;7529;15848;11750;41629;24835;33468;21798
659;221932;110637;222091;147248;23281;7542;15866;11759;41650;24850;33588;21879
660;229987;114664;230144;151531;23321;7555;15884;11774;41578;24811;33652;21928
661;228256;113798;228409;151168;23361;7568;15902;11801;41660;24869;33625;21910
662;228155;113747;228315;150500;23401;7581;15920;11803;41702;24884;33793;22015
663;223506;111422;223666;149388;23441;7594;15938;11821;42025;25084;33710;21953
664;220587;109962;220742;149110;23481;7607;15956;11837;42216;25194;33954;22125
665;220456;109896;220613;148458;23521;7620;15974;11861;42323;25253;34081;22213
666;221965;110650;222125;149116;23561;7633;15992;11864;42421;25315;34295;22352
667;222592;110963;222757;148694;23601;7646;16010;11872;42539;25388;34146;22245
668;221393;110363;221554;146993;23641;7659;16028;11914;42445;25330;34254;22302
669;220548;109940;220723;147302;23681;7672;16046;11920;42338;25268;34216;22285
670;224719;112025;224896;148679;23721;7685;16064;11923;42523;25378;34286;22334
671;226846;113088;227026;150736;23761;7698;16082;11932;42626;25439;34210;22288
672;227915;113622;228099;152057;23801;7711;16100;11970;42864;25578;34327;22360
673;228016;113672;228189;152782;23841;7724;16118;11968;42796;25543;34563;22521
674;230843;115085;231018;153713;23881;7737;16136;11989;42801;25539;34508;22475
675;230178;114752;230345;152052;23921;7750;16154;12022;42692;25472;34726;22642
676;230297;114811;230469;152498;23961;7763;16172;12042;42849;25566;34662;22578
677;231976;115650;232150;153596;24001;7776;16190;12046;42870;25575;34674;22590
678;229987;114655;230160;153985;24041;7789;16208;12065;43103;25721;34754;22646
679;232656;115989;232826;155198;24081;7802;16226;12080;43140;25749;34810;22669
680;234229;116775;234397;154375;24121;7815;16244;12080;43401;25905;34639;22564
681;234604;116962;234767;153998;24161;7828;16262;12093;43277;25826;34832;22697
682;237701;118510;237870;156050;24201;7841;16280;12134;43439;25928;34781;22646
683;236252;117785;236428;156046;24241;7854;16298;12142;43355;25880;35036;22823
684;236607;117962;236783;155445;24281;7867;16316;12143;43537;25993;35184;22923
685;235274;117295;235450;154422;24321;7880;16334;12166;43622;26033;35058;22848
686;235189;117252;235369;154153;24361;7893;16352;12198;43655;26051;35140;22888
687;235684;117499;235866;154966;24401;7906;16370;12192;43906;26197;35102;22874
688;234577;116945;234754;155036;24441;7919;16388;12239;43938;26217;35299;22996
689;236998;118155;237171;157276;24481;7932;16406;12269;43966;26239;35392;23056
690;237317;118314;237489;155750;24521;7945;16424;12243;44047;26284;35491;23128
691;234606;116958;234783;153682;24561;7958;16442;12267;44093;26306;35656;23245
692;239343;119326;239514;156656;24601;7971;16460;12288;44111;26321;35634;23223
693;240048;119678;240220;156322;24641;7984;16478;12319;44161;26356;35893;23413
694;244097;121702;244270;158167;24681;7997;16496;12330;44229;26394;35863;23371
695;240860;120083;241032;157640;24721;8010;16514;12362;44404;26494;35840;23357
696;246675;122990;246846;160313;24761;8023;16532;12364;44519;26555;35809;23344
697;243048;121176;243218;160628;24801;8036;16550;12384;44570;26591;35918;23408
698;241249;120276;241421;158849;24841;8049;16568;12404;44582;26603;35780;23312
699;240520;119911;240694;159570;24881;8062;16586;12409;44588;26600;36051;23481
700;241305;120303;241480;160462;24921;8075;16604;12411;44791;26719;36144;23550
701;243138;121219;243317;162140;24961;8088;16622;12430;44840;26744;36207;23589
702;244021;121660;244199;161744;25001;8101;16640;12461;45087;26898;36222;23601
703;243254;121276;243424;160848;25041;8114;16658;12475;45154;26944;36365;23705
704;245491;122394;245659;162459;25081;8127;16676;12483;45106;26902;36441;23760
705;247448;123372;247619;163370;25121;8140;16694;12513;45178;26965;36387;23724
706;247969;123632;248141;162786;25161;8153;16712;12537;45383;27083;36336;23688
707;250042;124668;250212;163922;25201;8166;16730;12574;45219;26982;36387;23700
708;252933;126113;253100;166774;25241;8179;16748;12562;45334;27058;36437;23741
709;253842;126567;254004;167628;25281;8192;16766;12590;45376;27076;36584;23837
710;256123;127707;256280;168708;25321;8205;16784;12597;45499;27160;36859;24019
711;259300;129295;259452;171190;25361;8218;16802;12620;45507;27156;36674;23900
712;257071;128180;257222;168904;25401;8231;16820;12643;45932;27434;36949;24079
713;255474;127381;255626;168774;25441;8244;16838;12667;45881;27395;37145;24200
714;256705;127996;256861;168433;25481;8257;16856;12657;45890;27392;36977;24089
715;255146;127216;255312;167812;25521;8270;16874;12686;45845;27371;37087;24163
716;256073;127679;256240;168117;25561;8283;16892;12708;45903;27402;36945;24075
717;257326;128305;257495;169822;25601;8296;16910;12698;45904;27409;37080;24165
718;256605;127944;256776;170851;25641;8309;16928;12736;46098;27513;37164;24219
719;255924;127603;256095;170148;25681;8322;16946;12743;45973;27442;37287;24306
720;251927;125604;252103;167817;25721;8335;16964;12766;46230;27585;37041;24144
721;252428;125854;252609;168796;25761;8348;16982;12779;46194;27564;37264;24289
722;258481;128880;258666;171282;25801;8361;17000;12805;46208;27575;37202;24260
723;259964;129621;260148;172600;25841;8374;17018;12835;46226;27581;37309;24310
724;264055;131666;264245;174345;25881;8387;17036;12826;46391;27683;37267;24292
725;266274;132775;266462;175400;25921;8400;17054;12845;46481;27725;37314;24315
726;264489;131882;264671;174365;25961;8413;17072;12853;46362;27642;37249;24283
727;263636;131455;263815;174516;26001;8426;17090;12873;46576;27784;37354;24352
728;266953;133113;267134;175725;26041;8439;17108;12910;46598;27800;37642;24541
729;267586;133429;267766;176628;26081;8452;17126;12928;46459;27715;37686;24561
730;269029;134150;269211;176601;26121;8465;17161;12936;46494;27732;37589;24500
731;271382;135326;271562;177674;26161;8478;17196;12979;46962;28014;37845;24672
732;273865;136567;274045;179240;26201;8491;17231;12980;46946;28004;38017;24805
733;276948;138108;277133;180602;26241;8504;17266;12994;47123;28118;37873;24685
734;271143;135205;271326;177516;26281;8517;17301;13013;47190;28161;38051;24815
735;272128;135697;272316;177422;26321;8530;17336;13047;47354;28259;37989;24756
736;272137;135701;272327;177169;26361;8543;17371;13077;47221;28180;38020;24787
737;273862;136563;274053;177540;26401;8556;17406;13116;47497;28345;38026;24781
738;278293;138778;278478;179706;26441;8569;17441;13114;47538;28377;38151;24873
739;280998;140130;281188;180662;26481;8582;17476;13131;47528;28376;38099;24836
740;285769;142515;285955;182851;26521;8595;17511;13153;47488;28351;38134;24865
741;291194;145227;291378;187292;26561;8608;17546;13181;47502;28347;38050;24808
742;296817;148038;297001;190644;26601;8621;17581;13217;47640;28425;38104;24838
743;298432;148845;298619;190428;26641;8634;17616;13250;47638;28438;38295;24966
744;298157;148707;298345;190598;26681;8647;17651;13249;47845;28561;38420;25043
745;301358;150307;301550;193684;26721;8660;17686;13257;47930;28607;38350;25009
746;303479;151367;303671;193321;26761;8673;17721;13306;47812;28534;38554;25126
747;304422;151838;304611;195102;26801;8686;17756;13314;47873;28571;38505;25089
748;302821;151037;303009;195206;26841;8699;17791;13315;48265;28813;38643;25191
749;302102;150677;302291;194964;26881;8712;17826;13344;48366;28875;38749;25240
750;298721;148986;298916;193597;26921;8725;17861;13379;48375;28869;38809;25291
751;296754;148002;296945;193360;26961;8738;17896;13376;48603;29010;38982;25413
752;296659;147954;296851;192237;27001;8751;17931;13409;48612;29022;39079;25474
753;294364;146806;294553;191724;27041;8764;17966;13454;48628;29026;39075;25452
754;294751;146999;294939;191858;27081;8777;18001;13487;48432;28908;39119;25484
755;289494;144370;289684;189728;27121;8790;18036;13521;48722;29087;39453;25722
756;286903;143074;287091;189897;27161;8803;18071;13542;48821;29132;39538;25783
757;291670;145457;291853;192894;27201;8816;18106;13562;48877;29173;39316;25609
758;294219;146731;294401;193498;27241;8829;18141;13598;48841;29158;39261;25587
759;294166;146704;294348;193084;27281;8842;18176;13611;49059;29289;39369;25650
760;298845;149043;299029;195893;27321;8855;18211;13633;49094;29300;39445;25702
761;294846;147043;295030;193378;27361;8868;18246;13670;49039;29260;39646;25846
762;295585;147412;295771;193327;27401;8881;18281;13683;49306;29425;39636;25842
763;297132;148185;297321;194470;27441;8894;18316;13670;49279;29407;39719;25904
764;295811;147524;296000;193091;27481;8907;18351;13701;49253;29384;39486;25755
765;297524;148380;297713;196260;27521;8920;18386;13731;49487;29534;39756;25941
766;296129;147682;296319;194682;27561;8933;18421;13745;49366;29467;39769;25936
767;293862;146548;294059;193146;27601;8946;18456;13769;49566;29571;39935;26057
768;296413;147823;296609;193915;27641;8959;18491;13815;49742;29675;40350;26334
769;293688;146460;293884;193396;27681;8972;18526;13815;49779;29709;40223;26246
770;296673;147952;296868;194565;27721;8985;18561;13833;49912;29782;40287;26274
771;298292;148761;298485;195820;27761;8998;18596;13860;49932;29784;40428;26358
772;299555;149392;299754;195243;27801;9011;18631;13887;50126;29921;40564;26464
773;300410;149819;300606;195418;27841;9024;18666;13915;50142;29922;40345;26323
774;299723;149475;299914;195207;27881;9037;18701;13943;50101;29902;40413;26352
775;300050;149638;300243;195042;27921;9050;18736;13970;50281;30010;40468;26404
776;304591;151908;304775;197305;27961;9063;18771;13993;50157;29934;40530;26442
777;309510;154367;309692;201296;28001;9076;18806;14034;50353;30061;40647;26523
778;313115;156169;313294;204520;28041;9089;18841;14028;50436;30093;40665;26535
779;315780;157501;315961;206372;28081;9102;18876;14037;50316;30030;40703;26558
780;316527;157874;316703;205836;28121;9115;18911;14058;50587;30199;40623;26511
781;316382;157801;316557;205424;28161;9128;18946;14106;50805;30318;40920;26703
782;317381;158300;317560;205703;28201;9141;18981;14118;50918;30404;40633;26509
783;320304;159761;320482;208972;28241;9154;19016;14156;50781;30315;40929;26706
784;322207;160712;322390;212264;28281;9167;19051;14179;51149;30545;41107;26812
785;317056;158136;317242;209006;28321;9180;19086;14201;51013;30451;41130;26829
786;323687;161451;323874;212247;28361;9193;19121;14252;51097;30511;40916;26687
787;324028;161621;324216;212598;28401;9206;19156;14253;51067;30487;41139;26832
788;323921;161567;324109;213143;28441;9219;19191;14264;51093;30507;41155;26836
789;325532;162372;325726;215384;28481;9232;19226;14305;51412;30682;41434;27019
790;321817;160514;322009;214159;28521;9245;19261;14320;51402;30675;41395;26992
791;324928;162069;325119;215552;28561;9258;19296;14361;51588;30810;41740;27208
792;326255;162732;326451;216373;28601;9271;19331;14384;51586;30802;41495;27047
793;325846;162527;326046;215944;28641;9284;19366;14420;51689;30857;41780;27233
794;328691;163949;328898;217217;28681;9297;19401;14402;51791;30911;41481;27042
795;324508;161857;324715;215390;28721;9310;19436;14424;52001;31031;41670;27180
796;326953;163079;327165;217454;28761;9323;19471;14481;52063;31075;41989;27391
797;324158;161681;324365;215356;28801;9336;19506;14506;52151;31130;41885;27314
798;320835;160019;321045;214132;28841;9349;19541;14535;52545;31365;42120;27459
799;324618;161910;324826;216730;28881;9362;19576;14526;52435;31306;42184;27508
800;321371;160286;321575;213908;28921;9375;19611;14541;52593;31395;42128;27479
801;323004;161102;323213;216540;28961;9388;19646;14580;52716;31479;42145;27487
802;326491;162845;326700;219403;29001;9401;19681;14590;52595;31397;42240;27540
803;326264;162731;326474;220348;29041;9414;19716;14653;52526;31352;42319;27598
804;323837;161517;324050;218817;29081;9427;19751;14650;52800;31515;42186;27507
805;321964;160580;322174;218958;29121;9440;19786;14666;52953;31602;42680;27830
806;318453;158824;318669;216275;29161;9453;19821;14689;52935;31581;42542;27752
807;318828;159011;319042;216240;29201;9466;19856;14727;53042;31655;42363;27645
808;318739;158966;318947;214531;29241;9479;19891;14723;52950;31611;42663;27804
809;318150;158671;318356;214576;29281;9492;19926;14754;53181;31740;42651;27813
810;319707;159449;319913;215067;29321;9505;19961;14778;53003;31637;42318;27594
811;318898;159044;319101;213990;29361;9518;19996;14821;53241;31779;42748;27874
812;319733;159461;319943;214192;29401;9531;20031;14821;53320;31825;42973;28036
813;317720;158454;317928;213786;29441;9544;20066;14848;53387;31871;42834;27927
814;318433;158810;318639;216518;29481;9557;20101;14865;53744;32087;43046;28088
815;321122;160154;321320;216312;29521;9570;20136;14925;53851;32152;43113;28134
816;319769;159477;319966;215963;29561;9583;20171;14958;53723;32081;43228;28192
817;323536;161360;323736;217914;29601;9596;20206;14949;53723;32075;43243;28213
818;322707;160945;322909;218382;29641;9609;20241;14976;53860;32152;43139;28139
819;324018;161600;324217;217372;29681;9622;20276;14996;53766;32100;43093;28102
820;322271;160726;322470;217190;29721;9635;20311;15040;53841;32142;43425;28317
821;318730;158955;318929;215450;29761;9648;20346;15060;54003;32229;43310;28256
822;322577;160878;322776;217256;29801;9661;20381;15074;54186;32346;43554;28416
823;325110;162144;325300;217170;29841;9674;20416;15092;54107;32303;43321;28234
824;326493;162835;326686;218384;29881;9687;20451;15097;54089;32288;43170;28155
825;328624;163900;328811;219608;29921;9700;20486;15130;54045;32262;43402;28315
826;332141;165658;332330;221304;29961;9713;20521;15170;54284;32405;43448;28334
827;334734;166954;334923;222254;30001;9726;20556;15199;54117;32298;43455;28350
828;341353;170263;341542;224947;30041;9739;20591;15218;54276;32397;43528;28399
829;344486;171829;344675;227362;30081;9752;20626;15240;54388;32473;43570;28420
830;344927;172049;345109;227631;30121;9765;20661;15250;54388;32464;43649;28460
831;345768;172469;345951;227820;30161;9778;20696;15287;54404;32465;43721;28505
832;345523;172346;345711;226596;30201;9791;20731;15316;54661;32620;43927;28657
833;348384;173776;348577;228688;30241;9804;20766;15339;54751;32677;43925;28658
834;351527;175347;351721;229633;30281;9817;20801;15340;54720;32661;43855;28612
835;348290;173728;348487;226880;30321;9830;20836;15392;54757;32692;43951;28663
836;356559;177862;356758;231350;30361;9843;20871;15414;54881;32759;43921;28651
837;355898;177531;356099;230548;30401;9856;20906;15412;55136;32906;44044;28741
838;356279;177721;356482;229494;30441;9869;20941;15451;55049;32861;44311;28906
839;356130;177646;356335;230310;30481;9882;20976;15467;55144;32911;44374;28933
840;358537;178849;358743;231165;30521;9895;21011;15495;55345;33022;44539;29056
841;359436;179298;359646;232262;30561;9908;21046;15537;55397;33068;44469;29010
842;359159;179159;359369;233008;30601;9921;21081;15536;55415;33086;44692;29143
843;355598;177378;355810;232124;30641;9934;21116;15571;55579;33172;44706;29157
844;360007;179582;360221;233999;30681;9947;21151;15575;55567;33163;44680;29137
845;357914;178535;358128;233900;30721;9960;21186;15621;55732;33265;44884;29278
846;358369;178762;358580;234600;30761;9973;21221;15647;55825;33322;44801;29225
847;363080;181117;363291;238650;30801;9986;21256;15645;55749;33285;44965;29329
848;365379;182266;365595;237618;30841;9999;21291;15678;55944;33408;44795;29204
849;362218;180685;362438;234574;30881;10012;21326;15713;56041;33457;45070;29386
850;359977;179564;360200;235656;30921;10025;21361;15737;56028;33453;45119;29447
851;361252;180201;361469;235290;30961;10038;21396;15759;56146;33517;45135;29439
852;363345;181247;363563;237248;31001;10051;21431;15791;56401;33670;44952;29334
853;366512;182830;366728;238576;31041;10064;21466;15788;56213;33554;45257;29528
854;363805;181476;364017;237331;31081;10077;21501;15840;56413;33676;45475;29674
855;364716;181931;364933;238952;31121;10090;21536;15873;56462;33710;45334;29569
856;363943;181544;364162;237304;31161;10103;21571;15909;56669;33830;45450;29658
857;364810;181977;365021;238910;31201;10116;21606;15938;56819;33926;45688;29815
858;370269;184706;370482;240457;31241;10129;21641;15943;56875;33961;45517;29695
859;368064;183603;368276;240270;31281;10142;21676;15978;56991;34023;45689;29810
860;366107;182624;366318;241692;31321;10155;21711;16015;57171;34137;45992;29993
861;375202;187171;375419;250126;31361;10168;21746;15991;57117;34116;46084;30094
862;375745;187442;375968;249837;31401;10181;21781;16050;57358;34249;46075;30094
863;374622;186880;374841;249744;31441;10194;21816;16074;57259;34183;46150;30124
864;375197;187167;375407;248445;31481;10207;21851;16098;57517;34336;46134;30123
865;373052;186094;373270;249478;31521;10220;21886;16105;57388;34258;46200;30159
866;372819;185977;373036;248885;31561;10233;21921;16123;57407;34280;46151;30119
867;374418;186776;374634;250680;31601;10246;21956;16186;57631;34408;46335;30249
868;374981;187057;375196;250544;31641;10259;21991;16207;57606;34386;46494;30351
869;372072;185602;372290;250380;31681;10272;22026;16216;57767;34487;46275;30213
870;377349;188240;377569;253159;31721;10285;22061;16260;57657;34434;46319;30242
871;376792;187961;377016;253068;31761;10298;22096;16254;57723;34470;46535;30407
872;380561;189845;380785;255473;31801;10311;22131;16289;57883;34564;46441;30319
873;376540;187834;376762;253476;31841;10324;22166;16258;57934;34603;46380;30267
874;378297;188712;378519;254010;31881;10337;22201;16361;58116;34710;46788;30558
875;379784;189455;380004;256052;31921;10350;22236;16371;58386;34869;46548;30378
876;382625;190875;382845;257220;31961;10363;22271;16401;58084;34693;46878;30603
877;383408;191266;383627;257550;32001;10376;22306;16434;58319;34829;46743;30510
878;389187;194155;389408;260018;32041;10389;22341;16455;58531;34954;46886;30593
879;388552;193837;388771;260232;32081;10402;22376;16478;58556;34970;47055;30696
880;391249;195185;391463;261890;32121;10415;22411;16480;58639;35005;46923;30609
881;395010;197065;395225;264410;32161;10428;22446;16495;58606;34990;46830;30552
882;395725;197422;395939;264835;32201;10441;22481;16514;58719;35058;47192;30797
883;392864;195991;393081;263810;32241;10454;22516;16572;58822;35110;47164;30781
884;390397;194757;390619;261239;32281;10467;22551;16595;58896;35154;47319;30879
885;393376;196246;393597;262712;32321;10480;22586;16617;58881;35151;47351;30908
886;393857;196486;394084;263428;32361;10493;22621;16624;59060;35267;47240;30812
887;396368;197741;396592;265710;32401;10506;22656;16652;59064;35256;47313;30861
888;393927;196520;394155;264797;32441;10519;22691;16682;59227;35362;47448;30957
889;391704;195408;391927;263810;32481;10532;22726;16703;59387;35453;47703;31113
890;394667;196889;394892;265497;32521;10545;22761;16730;59470;35503;47699;31094
891;394982;197046;395211;265922;32561;10558;22796;16730;59519;35522;47912;31250
892;401657;200383;401886;268423;32601;10571;22831;16787;59655;35610;48007;31315
893;400512;199810;400745;268444;32641;10584;22866;16787;59832;35727;47975;31295
894;398103;198605;398335;267106;32681;10597;22901;16808;59776;35689;48053;31343
895;400798;199952;401037;268776;32721;10610;22936;16848;59803;35680;47989;31294
896;401151;200128;401387;268785;32761;10623;22971;16879;59999;35810;48179;31430
897;402812;200958;403046;269346;32801;10636;23006;16900;59826;35700;48163;31390
898;403261;201182;403497;268647;32841;10649;23041;16893;59987;35801;48241;31483
899;406872;202987;407111;270970;32881;10662;23076;16912;60025;35818;48348;31524
900;403525;201313;403766;269819;32921;10675;23111;16951;60037;35824;48386;31583
901;404864;201982;405108;270200;32961;10688;23146;16992;60319;35992;48352;31534
902;409731;204415;409979;273276;33001;10701;23181;17017;60163;35893;48523;31654
903;408620;203859;408865;273650;33041;10714;23216;17020;60427;36067;48457;31618
904;411755;205426;411992;275059;33081;10727;23251;17043;60576;36150;48557;31670
905;412468;205782;412707;275140;33121;10740;23286;17066;60592;36163;48608;31703
906;411297;205196;411531;272829;33161;10753;23321;17113;60561;36144;48631;31723
907;413746;206420;413986;274176;33201;10766;23356;17123;60748;36253;48787;31831
908;419651;209372;419892;276496;33241;10779;23391;17156;60754;36268;48748;31798
909;411948;205520;412195;275300;33281;10792;23426;17188;61011;36423;48947;31940
910;416207;207649;416454;278473;33321;10805;23461;17201;60791;36278;49045;31996
911;419026;209058;419273;280448;33361;10818;23496;17187;61090;36466;48965;31925
912;422761;210925;423003;281326;33401;10831;23531;17249;61182;36510;49039;31972
913;423120;211104;423361;282700;33441;10844;23566;17261;61109;36479;48960;31941
914;420243;209665;420481;280985;33481;10857;23601;17265;61064;36458;49180;32080
915;416652;207869;416889;279216;33521;10870;23636;17303;60985;36403;49348;32191
916;414673;206879;414915;277395;33561;10883;23671;17325;61368;36639;49184;32099
917;418574;208829;418817;279628;33601;10896;23706;17369;61193;36539;49186;32086
918;417187;208135;417429;280077;33641;10909;23741;17387;61346;36626;49217;32105
919;413036;206059;413280;277452;33681;10922;23776;17436;61481;36704;49532;32303
920;414269;206675;414517;279444;33721;10935;23811;17434;61689;36846;49538;32306
921;415540;207310;415785;280394;33761;10948;23846;17447;61579;36769;49382;32213
922;418435;208757;418677;281262;33801;10961;23881;17485;61565;36764;49497;32304
923;415526;207302;415773;281170;33841;10974;23916;17509;61812;36906;49628;32378
924;414265;206671;414514;280472;33881;10987;23951;17525;61917;36984;49800;32502
925;410158;204617;410405;277030;33921;11000;23986;17513;62109;37101;49635;32388
926;406741;202908;406984;274113;33961;11013;24021;17548;62054;37052;49963;32605
927;409344;204209;409589;275902;34001;11026;24056;17574;62201;37133;49744;32449
928;417139;208106;417385;280365;34041;11039;24091;17646;62134;37096;49582;32344
929;414248;206660;414496;278666;34081;11052;24126;17669;62312;37205;49872;32535
930;417295;208183;417540;280736;34121;11065;24161;17682;62532;37335;50191;32749
931;417968;208519;418210;279858;34161;11078;24196;17696;62261;37187;49877;32558
932;420531;209800;420775;279677;34201;11091;24231;17696;62325;37215;49795;32497
933;420574;209821;420818;280588;34241;11104;24266;17749;62370;37242;49839;32514
934;427085;213076;427331;284007;34281;11117;24301;17764;62611;37405;50133;32700
935;426866;212966;427112;285546;34321;11130;24336;17806;62765;37472;50015;32645
936;428233;213649;428477;286392;34361;11143;24371;17816;62854;37528;50257;32794
937;425862;212463;426106;286020;34401;11156;24406;17852;62760;37467;50310;32847
938;432061;215562;432301;289360;34441;11169;24441;17885;62657;37421;50428;32920
939;433306;216184;433543;290572;34481;11182;24476;17918;62589;37374;50588;33008
940;436101;217581;436340;291937;34521;11195;24511;17933;62933;37580;50742;33126
941;436472;217766;436714;291870;34561;11208;24546;17957;63070;37654;50639;33047
942;435621;217340;435856;290702;34601;11221;24581;17985;63268;37792;50652;33063
943;435360;217209;435593;291716;34641;11234;24616;17994;63201;37755;50727;33099
944;439699;219378;439937;293395;34681;11247;24651;18005;63377;37847;50793;33159
945;435410;217233;435647;293104;34721;11260;24686;18039;63359;37838;51057;33348
946;435313;217184;435543;294341;34761;11273;24721;18058;63722;38060;51071;33329
947;435734;217394;435964;295726;34801;11286;24756;18092;63665;38027;51155;33398
948;436881;217967;437110;295028;34841;11299;24791;18101;63697;38029;51074;33332
949;437014;218033;437244;295592;34881;11312;24826;18131;63946;38194;51119;33359
950;434789;216920;435012;292793;34921;11325;24861;18171;63971;38201;51251;33455
951;436230;217640;436453;294284;34961;11338;24896;18181;64087;38281;51388;33532
952;437687;218368;437912;295001;35001;11351;24931;18221;64029;38250;51229;33406
953;444052;221550;444275;297952;35041;11364;24966;18245;63919;38176;51329;33497
954;450393;224720;450612;300098;35081;11377;25001;18278;64150;38320;51480;33597
955;449750;224398;449973;300350;35121;11390;25036;18284;64430;38492;51538;33637
956;451087;225066;451318;301884;35161;11403;25071;18307;64442;38504;51618;33678
957;458230;228637;458464;305136;35201;11416;25106;18330;64210;38365;51712;33745
958;465671;232357;465906;307296;35241;11429;25141;18340;64361;38447;51616;33685
959;460406;229724;460647;304060;35281;11442;25176;18374;64460;38513;51697;33748
960;460063;229552;460301;303225;35321;11455;25211;18401;64515;38538;52096;34021
961;459002;229021;459239;304296;35361;11468;25246;18467;64787;38690;51975;33945
962;456759;227899;456995;301985;35401;11481;25281;18475;64932;38796;51738;33783
963;457038;228038;457279;303010;35441;11494;25316;18466;64932;38799;51937;33937
964;461955;230496;462194;306122;35481;11507;25351;18532;64970;38816;52061;33992
965;465220;232128;465461;307104;35521;11520;25386;18560;65048;38858;52067;33998
966;464785;231910;465026;304218;35561;11533;25421;18562;65070;38874;52169;34082
967;465964;232499;466206;305880;35601;11546;25456;18601;65241;38970;52341;34182
968;469193;234113;469437;308284;35641;11559;25491;18608;65143;38914;52451;34253
969;471574;235303;471816;309600;35681;11572;25526;18667;65257;38977;52586;34352
970;471533;235282;471776;308268;35721;11585;25561;18636;65400;39069;52673;34412
971;475166;237098;475402;310410;35761;11598;25596;18668;65198;38948;52773;34464
972;476555;237792;476792;311344;35801;11611;25631;18696;65237;38981;52745;34445
973;476508;237768;476745;312676;35841;11624;25666;18742;65486;39110;52761;34452
974;474675;236851;474916;311525;35881;11637;25701;18761;65545;39151;52619;34358
975;476568;237797;476803;312532;35921;11650;25736;18769;65683;39238;52565;34325
976;479517;239271;479748;312617;35961;11663;25771;18806;65720;39260;52754;34463
977;486668;242846;486903;317530;36001;11676;25806;18802;65654;39230;52967;34592
978;487295;243159;487533;317536;36041;11689;25841;18826;65665;39232;52892;34547
979;488686;243854;488924;319684;36081;11702;25876;18863;65712;39252;53110;34687
980;489815;244418;490053;320426;36121;11715;25911;18896;65974;39418;53147;34709
981;488970;243995;489204;320610;36161;11728;25946;18910;66205;39553;52993;34609
982;493455;246237;493693;324234;36201;11741;25981;18950;66012;39438;53104;34675
983;491664;245341;491905;321322;36241;11754;26016;18970;66358;39646;53252;34775
984;489981;244499;490225;320055;36281;11767;26051;18987;66518;39752;53357;34847
985;491884;245450;492136;320358;36321;11780;26086;18996;66585;39780;53619;35022
986;494629;246822;494885;321543;36361;11793;26121;19033;66574;39775;53688;35064
987;499728;249371;499982;325796;36401;11806;26156;19067;66570;39774;53543;34964
988;505843;252428;506101;327164;36441;11819;26191;19109;66663;39819;53462;34904
989;506246;252629;506496;327258;36481;11832;26226;19115;66795;39924;53773;35101
990;508267;253639;508514;328636;36521;11845;26261;19147;66968;40013;53815;35149
991;507174;253092;507421;327592;36561;11858;26296;19141;67128;40101;53750;35084
992;506807;252908;507056;326818;36601;11871;26331;19195;67050;40053;53637;35016
993;508232;253620;508478;329404;36641;11884;26366;19203;67174;40132;53760;35094
994;500275;249641;500519;326657;36681;11897;26401;19242;66992;40016;53798;35114
995;498230;248618;498476;327592;36721;11910;26436;19267;67276;40207;54022;35251
996;500965;249985;501210;328848;36761;11923;26471;19254;67379;40247;54015;35262
997;494072;246538;494316;326306;36801;11936;26506;19314;67438;40282;53975;35237
998;493939;246471;494185;328552;36841;11949;26541;19317;67486;40324;53974;35239
999;493588;246295;493831;328116;36881;11962;26576;19351;67723;40447;54017;35264
1000;491575;245288;491819;326808;36921;11975;26611;19356;67953;40614;54341;35477
1001;491586;245293;491831;327682;36961;11988;26646;19394;67773;40500;54412;35539
1002;490511;244755;490758;327742;37001;12001;26681;19390;68122;40699;54354;35487
1003;491210;245104;491456;329006;37041;12014;26716;19451;68159;40730;54394;35530
1004;494485;246741;494726;330706;37081;12027;26751;19449;68016;40653;54293;35462
1005;500942;249969;501184;334848;37121;12040;26786;19478;67982;40613;54240;35403
1006;503759;251377;503998;336462;37161;12053;26821;19522;68222;40748;54627;35670
1007;500084;249539;500324;335132;37201;12066;26856;19525;68224;40759;54450;35532
1008;495113;247053;495360;332427;37241;12079;26891;19559;68376;40848;54698;35714
1009;494064;246528;494311;333200;37281;12092;26926;19584;68426;40886;54600;35661
1010;490619;244805;490864;330952;37321;12105;26961;19605;68642;41006;54785;35795
1011;490438;244714;490681;333252;37361;12118;26996;19633;68787;41109;54730;35752
1012;494077;246533;494321;336080;37401;12131;27031;19660;68885;41153;54926;35888
1013;490540;244764;490790;334950;37441;12144;27066;19694;68930;41183;54905;35858
1014;494857;246922;495108;338069;37481;12157;27101;19722;68924;41183;55083;35982
1015;495882;247434;496133;339090;37521;12170;27136;19728;68999;41219;55222;36073
1016;496559;247772;496810;337834;37561;12183;27171;19729;69002;41234;55126;36010
1017;500552;249768;500807;339352;37601;12196;27206;19755;68867;41156;55332;36126
1018;504457;251720;504719;340031;37641;12209;27241;19811;69333;41433;55289;36107
1019;505840;252411;506100;341054;37681;12222;27276;19830;69254;41378;55391;36179
1020;525249;262115;525486;343488;37721;12235;27311;19837;69176;41330;55554;36279
1021;528678;263829;528921;344298;37761;12248;27346;19890;69230;41369;55552;36283
