n;b1_a;b1_c;b2_a;b2_c
3073;7242;2134;6964;8082;
3074;7155;2073;6963;8083;
3075;6967;1946;6963;8085;
3076;7189;2091;6982;8095;
3077;7177;2089;7018;8115;
3078;7180;2109;6924;8069;
3079;7160;2074;7011;8117;
3080;7183;2086;6974;8100;
3081;7195;2095;7015;8122;
3082;7234;2119;7036;8131;
3083;7277;2141;6973;8103;
3084;7206;2096;6975;8103;
3085;7205;2100;6971;8104;
3086;7158;2076;7053;8145;
3087;7230;2111;6996;8119;
3088;7176;2064;7060;8154;
3089;7198;2103;7112;8180;
3090;7201;2088;6964;8107;
3091;7187;2083;7017;8134;
3092;7037;1976;7036;8148;
3093;7117;2049;7051;8155;
3094;7056;1981;6944;8102;
3095;7126;2047;7015;8142;
3096;7068;1989;7023;8146;
3097;7155;2069;7021;8148;
3098;7250;2114;6969;8122;
3099;7269;2124;7013;8144;
3100;7015;1961;7106;8195;
3101;7196;2079;7107;8195;
3102;7156;2051;6952;8120;
3103;7341;2155;7141;8216;
3104;6996;1961;7080;8186;
3105;7296;2135;7022;8161;
3106;7305;2135;6849;8077;
3107;7348;2147;7128;8215;
3108;7177;2063;7103;8204;
3109;7263;2122;7019;8165;
3110;7235;2100;6982;8145;
3111;7214;2083;7132;8221;
3112;7253;2105;7128;8225;
3113;7352;2174;7169;8245;
3114;7326;2149;7081;8198;
3115;7184;2058;6986;8156;
3116;7301;2121;7140;8234;
3117;7184;2053;7058;8196;
3118;7367;2165;7091;8214;
3119;7156;2041;7048;8196;
3120;7213;2068;7150;8246;
3121;7288;2119;7107;8227;
3122;7264;2103;7021;8185;
3123;7340;2153;7074;8214;
3124;7264;2102;7060;8207;
3125;7295;2123;7146;8251;
3126;7007;1946;7024;8192;
3127;7290;2115;7163;8264;
3128;7306;2125;7102;8237;
3129;7273;2112;7095;8234;
3130;7238;2090;7115;8245;
3131;7254;2108;7173;8276;
3132;7278;2104;7211;8292;
3133;7207;2037;7190;8288;
3134;7303;2121;7166;8272;
3135;7371;2162;7246;8316;
3136;7307;2109;7153;8269;
3137;7378;2158;7098;8246;
3138;7276;2102;7022;8210;
3139;7283;2105;6960;8179;
3140;7311;2120;7102;8248;
3141;7341;2149;6999;8203;
3142;7425;2184;7154;8282;
3143;7237;2064;7102;8257;
3144;7321;2121;7169;8293;
3145;7343;2137;7184;8302;
3146;7328;2136;7076;8246;
3147;7302;2121;7178;8302;
3148;7297;2095;7148;8287;
3149;7404;2178;7189;8309;
3150;7458;2179;7159;8295;
3151;7466;2195;7180;8308;
3152;7403;2162;7155;8296;
3153;7235;2059;7180;8312;
3154;7322;2121;7175;8307;
3155;7429;2180;7185;8316;
3156;7172;2022;7227;8339;
3157;7497;2216;7153;8300;
3158;7324;2123;7143;8303;
3159;7270;2082;7161;8309;
3160;7479;2208;7180;8321;
3161;7317;2118;7276;8372;
3162;7400;2168;7073;8273;
3163;7347;2123;7161;8317;
3164;7268;2081;7217;8345;
3165;7445;2171;7176;8328;
3166;7382;2157;7215;8347;
3167;7206;2042;7117;8301;
3168;7394;2158;7138;8311;
3169;7349;2126;7227;8358;
3170;7365;2129;7185;8341;
3171;7440;2177;7148;8322;
3172;7438;2181;7251;8374;
3173;7395;2135;7076;8287;
3174;7427;2169;7109;8305;
3175;7382;2139;7209;8355;
3176;7361;2114;7173;8340;
3177;7437;2170;7286;8402;
3178;7543;2236;7212;8364;
3179;7424;2152;7215;8368;
3180;7473;2190;7111;8319;
3181;7368;2139;7297;8410;
3182;7360;2113;7129;8332;
3183;7468;2180;7224;8378;
3184;7418;2154;7304;8418;
3185;7502;2205;7257;8395;
3186;7327;2108;7260;8397;
3187;7409;2147;7309;8424;
3188;7374;2153;7234;8390;
3189;7215;2030;7198;8376;
3190;7492;2199;7303;8425;
3191;7352;2110;7327;8442;
3192;7275;2050;7303;8428;
3193;7430;2154;7331;8444;
3194;7307;2102;7300;8433;
3195;7392;2142;7283;8420;
3196;7441;2159;7319;8445;
3197;7509;2193;7270;8427;
3198;7495;2189;7281;8429;
3199;7411;2134;7165;8373;
3200;7489;2166;7162;8374;
3201;7472;2173;7260;8421;
3202;7509;2196;7186;8387;
3203;7345;2086;7273;8433;
3204;7430;2162;7275;8433;
3205;7507;2190;7250;8421;
3206;7437;2149;7307;8453;
3207;7415;2131;7280;8440;
3208;7473;2167;7252;8431;
3209;7539;2203;7242;8422;
3210;7464;2158;7269;8438;
3211;7531;2196;7271;8443;
3212;7551;2213;7279;8445;
3213;7281;2034;7278;8449;
3214;7262;2041;7263;8446;
3215;7544;2207;7337;8482;
3216;7497;2185;7255;8443;
3217;7578;2223;7230;8433;
3218;7501;2182;7256;8445;
3219;7437;2140;7288;8464;
3220;7500;2178;7306;8476;
3221;7527;2201;7346;8496;
3222;7448;2142;7245;8448;
3223;7533;2189;7290;8469;
3224;7509;2189;7256;8454;
3225;7575;2226;7288;8474;
3226;7605;2241;7353;8506;
3227;7326;2057;7295;8479;
3228;7555;2203;7256;8462;
3229;7557;2205;7400;8533;
3230;7453;2151;7379;8526;
3231;7495;2169;7412;8543;
3232;7392;2092;7401;8536;
3233;7543;2188;7259;8471;
3234;7554;2193;7316;8499;
3235;7508;2166;7316;8500;
3236;7480;2157;7263;8477;
3237;7434;2121;7432;8564;
3238;7513;2177;7469;8581;
3239;7612;2217;7344;8521;
3240;7572;2199;7295;8501;
3241;7531;2196;7383;8542;
3242;7475;2135;7393;8551;
3243;7546;2189;7365;8535;
3244;7570;2185;7236;8476;
3245;7582;2218;7491;8601;
3246;7717;2285;7428;8575;
3247;7401;2089;7475;8597;
3248;7622;2233;7392;8560;
3249;7614;2222;7342;8537;
3250;7595;2210;7247;8488;
3251;7604;2230;7275;8505;
3252;7552;2170;7427;8583;
3253;7560;2197;7389;8564;
3254;7491;2136;7368;8553;
3255;7580;2200;7357;8552;
3256;7609;2216;7414;8581;
3257;7534;2166;7345;8546;
3258;7600;2200;7393;8573;
3259;7472;2125;7450;8605;
3260;7648;2225;7451;8607;
3261;7581;2198;7346;8557;
3262;7583;2197;7402;8585;
3263;7606;2216;7502;8633;
3264;7410;2097;7456;8615;
3265;7610;2191;7426;8601;
3266;7509;2147;7460;8620;
3267;7640;2229;7435;8608;
3268;7661;2232;7298;8542;
3269;7532;2161;7444;8617;
3270;7533;2160;7556;8671;
3271;7488;2140;7331;8557;
3272;7475;2129;7431;8615;
3273;7500;2134;7312;8555;
3274;7609;2196;7514;8659;
3275;7650;2220;7474;8641;
3276;7551;2145;7412;8607;
3277;7480;2130;7443;8628;
3278;7545;2160;7339;8574;
3279;7695;2247;7434;8630;
3280;7472;2099;7482;8651;
3281;7572;2172;7443;8633;
3282;7573;2175;7366;8596;
3283;7764;2277;7484;8658;
3284;7591;2197;7467;8652;
3285;7626;2198;7560;8699;
3286;7596;2186;7472;8652;
3287;7604;2189;7517;8682;
3288;7703;2252;7569;8703;
3289;7535;2129;7424;8633;
3290;7682;2236;7444;8646;
3291;7523;2132;7414;8633;
3292;7681;2235;7437;8649;
3293;7575;2176;7442;8656;
3294;7663;2215;7391;8626;
3295;7701;2238;7496;8686;
3296;7650;2201;7422;8646;
3297;7635;2199;7543;8704;
3298;7689;2227;7483;8679;
3299;7733;2250;7499;8687;
3300;7455;2079;7365;8622;
3301;7608;2187;7484;8682;
3302;7586;2165;7435;8661;
3303;7768;2278;7577;8736;
3304;7778;2275;7423;8659;
3305;7703;2223;7543;8722;
3306;7772;2277;7504;8702;
3307;7640;2200;7393;8649;
3308;7772;2269;7555;8730;
3309;7732;2248;7531;8721;
3310;7730;2253;7446;8681;
3311;7745;2257;7476;8697;
3312;7762;2268;7563;8740;
3313;7617;2166;7604;8761;
3314;7564;2144;7590;8756;
3315;7489;2087;7621;8773;
3316;7586;2159;7528;8730;
3317;7642;2177;7581;8757;
3318;7765;2269;7449;8694;
3319;7679;2203;7575;8758;
3320;7735;2237;7481;8712;
3321;7705;2222;7520;8731;
3322;7772;2267;7558;8752;
3323;7756;2258;7531;8741;
3324;7660;2201;7529;8740;
3325;7764;2242;7623;8788;
3326;7713;2226;7496;8727;
3327;7760;2244;7541;8752;
3328;7646;2187;7500;8732;
3329;7742;2244;7477;8719;
3330;7700;2206;7561;8767;
3331;7820;2290;7547;8763;
3332;7778;2266;7563;8773;
3333;7761;2254;7607;8795;
3334;7739;2235;7574;8778;
3335;7787;2261;7625;8806;
3336;7779;2253;7573;8780;
3337;7699;2219;7531;8763;
3338;7763;2240;7598;8797;
3339;7794;2256;7611;8802;
3340;7786;2254;7589;8794;
3341;7775;2255;7554;8779;
3342;7818;2271;7608;8803;
3343;7691;2206;7624;8818;
3344;7770;2230;7718;8866;
3345;7817;2274;7589;8800;
3346;7771;2251;7611;8816;
3347;7815;2278;7650;8836;
3348;7738;2224;7582;8806;
3349;7724;2219;7611;8821;
3350;7681;2191;7627;8831;
3351;7726;2216;7603;8818;
3352;7749;2221;7654;8844;
3353;7878;2311;7701;8872;
3354;7853;2279;7573;8808;
3355;7906;2317;7589;8815;
3356;7937;2323;7650;8851;
3357;7882;2304;7521;8788;
3358;7772;2230;7518;8787;
3359;7879;2299;7649;8854;
3360;7867;2290;7667;8863;
3361;7744;2227;7616;8842;
3362;7805;2256;7692;8881;
3363;7788;2241;7719;8894;
3364;7796;2241;7744;8909;
3365;7810;2253;7559;8818;
3366;7864;2288;7665;8872;
3367;7769;2240;7630;8855;
3368;7878;2280;7600;8845;
3369;7814;2248;7571;8833;
3370;7900;2302;7735;8909;
3371;7727;2208;7711;8905;
3372;7853;2281;7615;8856;
3373;7793;2227;7674;8889;
3374;7684;2155;7819;8959;
3375;7759;2205;7631;8866;
3376;7876;2289;7614;8863;
3377;7647;2149;7638;8876;
3378;7757;2226;7629;8870;
3379;7878;2281;7709;8914;
3380;7756;2219;7639;8880;
3381;7829;2257;7669;8897;
3382;7863;2281;7810;8966;
3383;7884;2297;7714;8921;
3384;7817;2246;7738;8935;
3385;7862;2278;7663;8900;
3386;7880;2274;7710;8924;
3387;8003;2345;7683;8914;
3388;7776;2206;7644;8893;
3389;7893;2286;7621;8883;
3390;7666;2147;7606;8882;
3391;7908;2286;7592;8872;
3392;7866;2274;7757;8958;
3393;7950;2316;7640;8901;
3394;7759;2216;7740;8954;
3395;7818;2257;7666;8915;
3396;7845;2258;7690;8928;
3397;7662;2151;7617;8896;
3398;7866;2264;7746;8961;
3399;7721;2179;7628;8897;
3400;7816;2237;7687;8938;
3401;7822;2224;7770;8975;
3402;7924;2295;7728;8958;
3403;7936;2299;7785;8987;
3404;7928;2301;7758;8974;
3405;7887;2273;7749;8974;
3406;7902;2299;7719;8959;
3407;7895;2277;7657;8930;
3408;7855;2257;7641;8923;
3409;7924;2298;7683;8945;
3410;7783;2187;7706;8957;
3411;7944;2294;7825;9021;
3412;7896;2274;7733;8974;
3413;7888;2274;7816;9016;
3414;7925;2278;7665;8944;
3415;7981;2323;7799;9014;
3416;7936;2294;7789;9010;
3417;7825;2219;7757;8996;
3418;7864;2237;7728;8984;
3419;7915;2263;7624;8933;
3420;7996;2327;7902;9070;
3421;7964;2298;7832;9040;
3422;7909;2269;7778;9012;
3423;7870;2259;7817;9033;
3424;7915;2278;7774;9014;
3425;7876;2252;7747;9003;
3426;7766;2183;7795;9027;
3427;8035;2343;7753;9006;
3428;7935;2289;7786;9025;
3429;7916;2268;7706;8991;
3430;7934;2297;7772;9022;
3431;8040;2344;7814;9045;
3432;7923;2273;7831;9051;
3433;7948;2276;7698;8988;
3434;8028;2333;7871;9078;
3435;8040;2343;7709;8996;
3436;7981;2305;7786;9036;
3437;8044;2338;7831;9062;
3438;7859;2224;7857;9074;
3439;7941;2280;7737;9017;
3440;7973;2287;7728;9016;
3441;8001;2316;7820;9063;
3442;7975;2298;7881;9096;
3443;7986;2302;7893;9100;
3444;7957;2285;7771;9042;
3445;7829;2200;7883;9098;
3446;8005;2304;7744;9032;
3447;8016;2315;7764;9044;
3448;7980;2296;7813;9067;
3449;8032;2316;7784;9053;
3450;8001;2294;7878;9102;
3451;7907;2254;7873;9102;
3452;7956;2272;7756;9042;
3453;7926;2259;7866;9104;
3454;7900;2254;7832;9089;
3455;7952;2264;7865;9104;
3456;7889;2229;7870;9110;
3457;8016;2304;7830;9090;
3458;7967;2285;7886;9122;
3459;8048;2327;7740;9053;
3460;8043;2316;7913;9135;
3461;7967;2271;7929;9145;
3462;7980;2281;7883;9127;
3463;7973;2287;7941;9154;
3464;8036;2316;7919;9147;
3465;7935;2260;7886;9129;
3466;7917;2244;7907;9141;
3467;8008;2294;7896;9141;
3468;7950;2277;7833;9111;
3469;8024;2305;7918;9152;
3470;8058;2310;7856;9123;
3471;8008;2295;7818;9105;
3472;8048;2309;7990;9195;
3473;7973;2270;7925;9160;
3474;8049;2318;7997;9198;
3475;8010;2280;7861;9134;
3476;8050;2315;7851;9128;
3477;8128;2355;7838;9124;
3478;8020;2301;7906;9159;
3479;8066;2326;7903;9161;
3480;7988;2261;7882;9155;
3481;8073;2316;7875;9152;
3482;8065;2327;7984;9203;
3483;8068;2309;7974;9203;
3484;7908;2225;7817;9129;
3485;8013;2296;7875;9156;
3486;8088;2327;7895;9167;
3487;7901;2227;8007;9223;
3488;7964;2250;7948;9197;
3489;7980;2271;7945;9196;
3490;8041;2305;7846;9150;
3491;7949;2254;7853;9154;
3492;8088;2327;7929;9193;
3493;7970;2249;7927;9193;
3494;7995;2288;7917;9191;
3495;8181;2379;7870;9167;
3496;8078;2302;7850;9159;
3497;8124;2343;7987;9231;
3498;8107;2328;8027;9253;
3499;8080;2321;8080;9277;
3500;8112;2327;7891;9188;
3501;8055;2291;7933;9210;
3502;8080;2321;8010;9250;
3503;8178;2373;7831;9163;
3504;7986;2251;7977;9238;
3505;7998;2275;7986;9240;
3506;8110;2343;7879;9187;
3507;7992;2261;7964;9233;
3508;8079;2310;7930;9217;
3509;8125;2337;8000;9254;
3510;7998;2248;7960;9236;
3511;8121;2331;7931;9223;
3512;8078;2307;8071;9290;
3513;8081;2305;7997;9260;
3514;8160;2357;7969;9245;
3515;8062;2287;8107;9317;
3516;8129;2334;7967;9247;
3517;8077;2311;8040;9291;
3518;7945;2222;7996;9269;
3519;8220;2378;8018;9280;
3520;8112;2315;7977;9259;
3521;8067;2299;7968;9253;
3522;8154;2331;7977;9265;
3523;8107;2321;7996;9273;
3524;8126;2323;7995;9275;
3525;8109;2312;7957;9259;
3526;8230;2388;7972;9264;
3527;8232;2391;8128;9344;
3528;8141;2339;8087;9327;
3529;8203;2357;7989;9281;
3530;8108;2310;7982;9274;
3531;8134;2343;7955;9264;
3532;8037;2267;7998;9284;
3533;8092;2316;8003;9293;
3534;8076;2296;8051;9318;
3535;8082;2289;7972;9284;
3536;8238;2373;8033;9312;
3537;8213;2366;8041;9315;
3538;8069;2272;8036;9314;
3539;8073;2283;8046;9324;
3540;8225;2365;7975;9287;
3541;8059;2263;8131;9369;
3542;8182;2348;8045;9329;
3543;8251;2384;8075;9342;
3544;8005;2243;8002;9306;
3545;8257;2381;7960;9286;
3546;8128;2321;7997;9307;
3547;7936;2205;8128;9374;
3548;8239;2371;8077;9351;
3549;8233;2370;8049;9338;
3550;8071;2271;8112;9376;
3551;8226;2357;8012;9324;
3552;8239;2384;7976;9309;
3553;8072;2265;8029;9333;
3554;8251;2384;8079;9360;
3555;8349;2421;8086;9367;
3556;8108;2278;8156;9400;
3557;8208;2349;8074;9362;
3558;8342;2428;7971;9311;
3559;8148;2301;8077;9366;
3560;8283;2383;8044;9355;
3561;8253;2376;8085;9375;
3562;8105;2284;8133;9401;
3563;8268;2378;8051;9359;
3564;8262;2388;8126;9398;
3565;8156;2319;8144;9408;
3566;8304;2403;8127;9402;
3567;8154;2316;7934;9310;
3568;8199;2344;8089;9388;
3569;8292;2394;8065;9375;
3570;8192;2311;8042;9371;
3571;8289;2381;8072;9384;
3572;8236;2350;8206;9451;
3573;8214;2347;8137;9417;
3574;8181;2324;8169;9434;
3575;8170;2319;8078;9394;
3576;8225;2356;8141;9428;
3577;8345;2409;8151;9432;
3578;8024;2227;8107;9414;
3579;8199;2333;8143;9430;
3580;8297;2378;8147;9435;
3581;8210;2327;8057;9393;
3582;8315;2389;8072;9400;
3583;8219;2335;8202;9468;
3584;8059;2258;8196;9463;
3585;8253;2353;8167;9452;
3586;8180;2326;8102;9420;
3587;8159;2306;8115;9430;
3588;8279;2369;8150;9450;
3589;8315;2393;8131;9438;
3590;8202;2333;8197;9475;
3591;8111;2265;8154;9455;
3592;8344;2393;8194;9473;
3593;8410;2435;8102;9430;
3594;8215;2328;8132;9450;
3595;8231;2340;8238;9501;
3596;8283;2368;8100;9437;
3597;8330;2398;8177;9476;
3598;8147;2290;8132;9453;
3599;8285;2367;8172;9475;
3600;8333;2388;8097;9440;
3601;8248;2333;8161;9474;
3602;8134;2266;8194;9491;
3603;8287;2366;8130;9459;
3604;8275;2351;8065;9430;
3605;8184;2304;8098;9447;
3606;8200;2311;8177;9490;
3607;8336;2389;8114;9455;
3608;8160;2276;8193;9500;
3609;8306;2373;8290;9548;
3610;8317;2377;8177;9496;
3611;8242;2334;8322;9567;
3612;8341;2388;8177;9499;
3613;8237;2326;8197;9512;
3614;8439;2445;8147;9487;
3615;8201;2293;8175;9502;
3616;8319;2372;8228;9531;
3617;8244;2332;8200;9514;
3618;8328;2377;8248;9540;
3619;8315;2371;8207;9521;
3620;8322;2383;8270;9556;
3621;8326;2387;8175;9510;
3622;8351;2380;8176;9511;
3623;8290;2353;8259;9557;
3624;8344;2384;8275;9563;
3625;8375;2390;8251;9554;
3626;8244;2325;8377;9619;
3627;8294;2348;8269;9564;
3628;8344;2385;8268;9568;
3629;8297;2352;8132;9497;
3630;8198;2305;8153;9513;
3631;8270;2340;8168;9526;
3632;8436;2422;8206;9544;
3633;8388;2380;8214;9550;
3634;8379;2397;8241;9563;
3635;8291;2346;8196;9542;
3636;8512;2465;8194;9540;
3637;8363;2381;8210;9547;
3638;8251;2324;8199;9549;
3639;8383;2395;8259;9579;
3640;8360;2369;8233;9565;
3641;8319;2355;8303;9605;
3642;8379;2394;8265;9587;
3643;8394;2395;8321;9620;
3644;8408;2395;8329;9623;
3645;8310;2349;8179;9550;
3646;8430;2415;8308;9611;
3647;8413;2410;8315;9617;
3648;8294;2326;8257;9593;
3649;8394;2398;8345;9637;
3650;8389;2385;8250;9591;
3651;8417;2399;8266;9601;
3652;8308;2336;8277;9610;
3653;8282;2335;8247;9593;
3654;8439;2419;8392;9669;
3655;8516;2460;8253;9600;
3656;8338;2359;8227;9589;
3657;8414;2401;8352;9655;
3658;8369;2378;8259;9609;
3659;8372;2371;8280;9621;
3660;8399;2379;8311;9637;
3661;8432;2411;8263;9612;
3662;8352;2366;8302;9636;
3663;8366;2368;8377;9673;
3664;8355;2358;8348;9661;
3665;8443;2411;8290;9634;
3666;8464;2425;8317;9649;
3667;8443;2406;8371;9678;
3668;8523;2441;8318;9653;
3669;8400;2389;8238;9613;
3670;8408;2382;8266;9632;
3671;8471;2414;8298;9646;
3672;8391;2371;8311;9655;
3673;8538;2458;8378;9686;
3674;8454;2408;8360;9679;
3675;8437;2398;8348;9681;
3676;8305;2323;8393;9703;
3677;8425;2384;8271;9640;
3678;8533;2449;8434;9727;
3679;8491;2432;8335;9675;
3680;8403;2369;8396;9708;
3681;8518;2441;8385;9705;
3682;8468;2410;8301;9661;
3683;8364;2358;8411;9721;
3684;8467;2405;8307;9670;
3685;8558;2461;8319;9679;
3686;8364;2350;8337;9687;
3687;8461;2411;8422;9731;
3688;8405;2386;8477;9758;
3689;8361;2350;8360;9705;
3690;8635;2499;8337;9690;
3691;8510;2426;8370;9709;
3692;8436;2395;8347;9706;
3693;8348;2333;8302;9681;
3694;8503;2424;8294;9681;
3695;8390;2360;8290;9677;
3696;8563;2454;8360;9716;
3697;8426;2376;8176;9624;
3698;8523;2432;8317;9695;
3699;8522;2435;8309;9695;
3700;8515;2440;8376;9731;
3701;8542;2438;8330;9707;
3702;8478;2396;8451;9770;
3703;8555;2448;8432;9761;
3704;8312;2317;8431;9761;
3705;8494;2412;8371;9730;
3706;8469;2391;8476;9788;
3707;8418;2372;8375;9739;
3708;8474;2403;8394;9749;
3709;8547;2439;8533;9819;
3710;8604;2480;8390;9753;
3711;8529;2422;8435;9774;
3712;8532;2434;8458;9788;
3713;8478;2397;8389;9755;
3714;8574;2452;8301;9713;
3715;8472;2400;8415;9769;
3716;8564;2444;8381;9757;
3717;8497;2413;8371;9749;
3718;8537;2431;8379;9757;
3719;8441;2380;8397;9769;
3720;8511;2396;8432;9785;
3721;8588;2455;8369;9756;
3722;8506;2412;8420;9782;
3723;8523;2415;8497;9822;
3724;8531;2419;8373;9763;
3725;8476;2383;8473;9816;
3726;8530;2418;8398;9780;
3727;8676;2490;8467;9811;
3728;8624;2465;8514;9840;
3729;8520;2412;8449;9808;
3730;8490;2392;8488;9829;
3731;8549;2425;8343;9760;
3732;8619;2452;8431;9805;
3733;8547;2426;8436;9809;
3734;8646;2468;8505;9843;
3735;8527;2415;8436;9811;
3736;8527;2414;8454;9821;
3737;8455;2367;8485;9838;
3738;8594;2456;8468;9830;
3739;8562;2425;8388;9793;
3740;8474;2377;8448;9826;
3741;8530;2422;8519;9863;
3742;8584;2433;8510;9859;
3743;8666;2488;8530;9873;
3744;8576;2432;8481;9848;
3745;8582;2431;8421;9817;
3746;8457;2383;8474;9847;
3747;8507;2394;8461;9841;
3748;8595;2444;8570;9898;
3749;8641;2464;8523;9875;
3750;8674;2478;8468;9852;
3751;8555;2414;8546;9891;
3752;8588;2435;8458;9847;
3753;8633;2453;8605;9920;
3754;8646;2461;8613;9929;
3755;8481;2371;8621;9932;
3756;8674;2477;8446;9848;
3757;8694;2491;8507;9881;
3758;8663;2478;8498;9876;
3759;8683;2493;8459;9862;
3760;8559;2406;8500;9884;
3761;8656;2473;8550;9909;
3762;8625;2459;8405;9838;
3763;8568;2422;8487;9876;
3764;8555;2409;8620;9947;
3765;8546;2407;8598;9937;
3766;8532;2392;8553;9916;
3767;8691;2487;8505;9890;
3768;8597;2438;8624;9955;
3769;8645;2460;8547;9921;
3770;8624;2443;8549;9916;
3771;8575;2404;8579;9935;
3772;8642;2446;8522;9909;
3773;8701;2489;8627;9965;
3774;8635;2439;8591;9946;
3775;8808;2545;8520;9914;
3776;8582;2413;8549;9930;
3777;8637;2449;8646;9978;
3778;8698;2479;8534;9920;
3779;8717;2486;8552;9936;
3780;8712;2485;8583;9951;
3781;8695;2470;8523;9924;
3782;8665;2453;8479;9901;
3783;8617;2433;8501;9917;
3784;8678;2469;8497;9913;
3785;8852;2557;8539;9940;
3786;8687;2474;8646;9992;
3787;8698;2475;8610;9973;
3788;8704;2470;8576;9960;
3789;8741;2479;8523;9933;
3790;8708;2475;8581;9967;
3791;8613;2423;8649;10002;
3792;8570;2413;8627;9993;
3793;8642;2447;8498;9931;
3794;8621;2418;8607;9984;
3795;8703;2464;8585;9977;
3796;8687;2468;8620;9992;
3797;8631;2429;8541;9957;
3798;8743;2495;8619;9998;
3799;8637;2438;8606;9991;
3800;8559;2389;8518;9951;
3801;8703;2459;8614;10000;
3802;8703;2471;8684;10036;
3803;8624;2422;8633;10015;
3804;8712;2478;8582;9987;
3805;8575;2402;8690;10044;
3806;8609;2410;8645;10025;
3807;8672;2437;8654;10029;
3808;8801;2511;8712;10060;
3809;8757;2485;8686;10049;
3810;8690;2455;8653;10031;
3811;8680;2456;8584;9997;
3812;8699;2462;8634;10028;
3813;8646;2418;8690;10054;
3814;8695;2453;8585;10005;
3815;8676;2447;8702;10066;
3816;8740;2481;8617;10025;
3817;8743;2493;8714;10073;
3818;8811;2513;8696;10067;
3819;8821;2520;8691;10067;
3820;8726;2459;8710;10076;
3821;8708;2458;8751;10097;
3822;8648;2428;8732;10090;
3823;8620;2403;8638;10042;
3824;8816;2509;8746;10100;
3825;8778;2497;8694;10073;
3826;8765;2480;8650;10058;
3827;8713;2457;8698;10081;
3828;8778;2484;8728;10098;
3829;8718;2456;8713;10089;
3830;8757;2478;8676;10075;
3831;8705;2450;8743;10111;
3832;8642;2414;8755;10116;
3833;8699;2437;8696;10091;
3834;8686;2435;8811;10146;
3835;8865;2529;8631;10060;
3836;8797;2495;8623;10058;
3837;8698;2440;8613;10052;
3838;8882;2540;8797;10148;
3839;8749;2473;8732;10115;
3840;8665;2416;8731;10116;
3841;8702;2436;8695;10098;
3842;8818;2514;8711;10107;
3843;8715;2451;8675;10091;
3844;8666;2419;8725;10120;
3845;8777;2486;8692;10103;
3846;8766;2474;8694;10109;
3847;8753;2460;8723;10123;
3848;8723;2438;8697;10107;
3849;8829;2503;8653;10089;
3850;8799;2495;8897;10214;
3851;8858;2522;8720;10127;
3852;8735;2452;8752;10144;
3853;8852;2510;8780;10161;
3854;8726;2442;8710;10127;
3855;8711;2437;8720;10131;
3856;8681;2414;8732;10143;
3857;8819;2489;8793;10173;
3858;8843;2505;8833;10194;
3859;8815;2490;8745;10154;
3860;8761;2465;8719;10142;
3861;8841;2508;8776;10170;
3862;8814;2482;8716;10143;
3863;8910;2531;8841;10206;
3864;8879;2521;8730;10152;
3865;8761;2456;8779;10176;
3866;8799;2472;8757;10169;
3867;8925;2543;8728;10160;
3868;8805;2479;8821;10203;
3869;8823;2492;8767;10180;
3870;8870;2510;8806;10201;
3871;8751;2445;8794;10197;
3872;8855;2499;8719;10158;
3873;8883;2515;8892;10242;
3874;8891;2516;8842;10224;
3875;8997;2570;8791;10198;
3876;8839;2488;8791;10198;
3877;8902;2521;8775;10190;
3878;8910;2525;8798;10206;
3879;8893;2520;8716;10168;
3880;8791;2458;8775;10198;
3881;8823;2483;8790;10206;
3882;8842;2498;8796;10211;
3883;8882;2521;8869;10248;
3884;8879;2509;8891;10265;
3885;8966;2550;8778;10206;
3886;8892;2517;8843;10243;
3887;8883;2508;8763;10204;
3888;8850;2486;8833;10236;
3889;8880;2497;8798;10222;
3890;8900;2518;8939;10297;
3891;8927;2535;8866;10263;
3892;8942;2541;8817;10237;
3893;8850;2490;8805;10233;
3894;8948;2538;8766;10216;
3895;8850;2483;8936;10302;
3896;8912;2518;8943;10308;
3897;8921;2526;8897;10285;
3898;8997;2553;8814;10247;
3899;8833;2469;8847;10261;
3900;8901;2516;8887;10282;
3901;8954;2539;8898;10293;
3902;8898;2508;8864;10275;
3903;8947;2532;8821;10255;
3904;8868;2493;8886;10289;
3905;8918;2519;8937;10317;
3906;8867;2485;8892;10299;
3907;8948;2533;8914;10308;
3908;8957;2536;8747;10225;
3909;8906;2505;8866;10288;
3910;8876;2490;8962;10334;
3911;8919;2515;8921;10319;
3912;8904;2510;8868;10296;
3913;8905;2503;8886;10304;
3914;8937;2522;8862;10293;
3915;8834;2468;8797;10264;
3916;8844;2476;8857;10291;
3917;8874;2488;8830;10280;
3918;8868;2480;8941;10339;
3919;8963;2526;8888;10312;
3920;8899;2501;8843;10293;
3921;8817;2457;8779;10262;
3922;9052;2573;8960;10352;
3923;8916;2507;8837;10294;
3924;8816;2460;8901;10326;
3925;8967;2526;8968;10361;
3926;8995;2545;8844;10303;
3927;8999;2542;8874;10318;
3928;8951;2519;8866;10318;
3929;8921;2501;8999;10381;
3930;8926;2499;8989;10380;
3931;8936;2510;8916;10346;
3932;9031;2559;8888;10334;
3933;9008;2546;8939;10359;
3934;9031;2559;9016;10401;
3935;8980;2529;8977;10379;
3936;8921;2498;8967;10376;
3937;8867;2472;8953;10369;
3938;8901;2494;9063;10429;
3939;9124;2606;9029;10412;
3940;9052;2565;8971;10388;
3941;9017;2551;8884;10347;
3942;9015;2537;8917;10363;
3943;8909;2485;8970;10389;
3944;9045;2562;8910;10363;
3945;9004;2537;8859;10338;
