n;b1_a;b1_c;b2_a;b2_c
290;639;177;674;767;
291;686;202;644;752;
292;679;197;643;753;
293;666;191;682;774;
294;682;201;681;774;
295;701;210;707;788;
296;716;216;678;777;
297;710;211;655;767;
298;673;190;657;769;
299;688;196;724;802;
300;686;197;699;795;
301;684;194;681;785;
302;719;211;689;791;
303;703;203;690;793;
304;700;200;693;797;
305;724;213;724;810;
306;710;202;715;810;
307;702;200;701;804;
308;734;216;709;812;
309;735;217;707;813;
310;687;192;714;815;
311;700;196;715;818;
312;726;210;705;814;
313;727;210;717;816;
314;740;218;742;834;
315;725;205;712;822;
316;743;221;716;826;
317;768;228;744;839;
318;764;227;738;840;
319;782;244;738;841;
320;742;211;731;838;
321;743;215;719;835;
322;755;220;722;835;
323;732;208;715;835;
324;740;212;745;852;
325;728;207;772;867;
326;757;219;755;857;
327;787;233;777;874;
328;746;211;763;867;
329;747;211;751;864;
330;758;217;753;860;
331;776;224;786;883;
332;814;244;767;871;
333;793;236;734;861;
334;768;219;782;884;
335;783;229;760;875;
336;796;235;786;891;
337;764;215;781;889;
338;815;247;769;885;
339;800;235;788;894;
340;792;229;817;909;
341;794;227;781;893;
342;809;236;770;891;
343;777;221;782;900;
344;812;235;783;901;
345;790;225;768;896;
346;792;225;760;892;
347;810;239;752;890;
348;849;253;812;920;
349;839;256;798;916;
350;845;250;765;899;
351;810;231;802;920;
352;827;243;806;922;
353;841;247;779;913;
354;835;254;816;930;
355;873;269;791;922;
356;808;227;808;932;
357;815;229;823;937;
358;806;226;821;940;
359;856;254;826;945;
360;835;240;797;930;
361;852;251;829;951;
362;826;232;786;930;
363;865;257;847;960;
364;850;250;812;946;
365;829;234;852;966;
366;875;258;846;965;
367;880;261;858;972;
368;849;243;830;960;
369;873;255;893;993;
370;873;261;856;976;
371;856;249;833;966;
372;852;243;827;964;
373;877;255;864;984;
374;902;269;864;988;
375;829;230;859;986;
376;900;272;887;1002;
377;865;251;896;1004;
378;907;271;843;981;
379;840;232;826;975;
380;877;253;899;1010;
381;855;237;897;1013;
382;921;274;869;1001;
383;899;266;906;1022;
384;888;252;878;1008;
385;926;276;910;1025;
386;908;266;848;998;
387;907;260;913;1028;
388;927;280;914;1032;
389;896;255;881;1018;
390;872;241;911;1034;
391;889;250;859;1010;
392;874;243;929;1043;
393;910;267;920;1043;
394;916;263;872;1018;
395;919;263;948;1058;
396;907;260;902;1037;
397;913;259;925;1050;
398;920;263;938;1060;
399;937;276;926;1054;
400;890;246;937;1061;
401;950;278;910;1051;
402;964;288;929;1059;
403;977;293;903;1049;
404;932;267;923;1060;
405;953;278;921;1060;
406;948;279;924;1066;
407;945;274;961;1087;
408;926;260;956;1083;
409;934;266;929;1073;
410;975;287;976;1094;
411;939;266;930;1074;
412;927;265;966;1096;
413;929;261;948;1088;
414;987;293;965;1096;
415;938;262;928;1079;
416;990;287;959;1096;
417;958;272;982;1109;
418;952;272;915;1079;
419;966;275;944;1093;
420;924;253;996;1121;
421;968;274;970;1109;
422;986;289;976;1114;
423;989;284;999;1124;
424;981;285;976;1116;
425;980;281;986;1124;
426;927;257;991;1125;
427;976;280;945;1108;
428;1018;297;976;1124;
429;998;288;1011;1140;
430;1006;291;985;1132;
431;995;283;977;1130;
432;1021;300;991;1137;
433;1020;299;1007;1146;
434;1006;286;1010;1150;
435;1009;289;969;1130;
436;958;263;1014;1153;
437;1015;293;1045;1172;
438;1027;297;1010;1155;
439;1021;295;1016;1160;
440;1017;292;1016;1158;
441;1018;289;978;1144;
442;1024;291;1046;1180;
443;995;277;1025;1170;
444;1001;281;1014;1166;
445;993;278;1063;1192;
446;1033;295;1015;1168;
447;1036;297;1045;1187;
448;1068;313;1025;1176;
449;1059;306;1010;1172;
450;1043;299;1044;1187;
451;1007;278;1018;1180;
452;1065;308;1048;1196;
453;1039;295;1052;1198;
454;1056;308;1054;1202;
455;1027;286;1013;1183;
456;1050;301;1031;1194;
457;1044;295;1003;1180;
458;1049;298;1049;1203;
459;1029;285;1017;1189;
460;1027;288;1046;1208;
461;1068;306;1046;1208;
462;1086;316;1072;1221;
463;1047;295;1069;1223;
464;1029;285;1076;1227;
465;1089;314;1058;1216;
466;1077;310;1038;1211;
467;1098;317;1054;1220;
468;1042;287;1069;1230;
469;1115;329;1041;1217;
470;1069;301;1100;1250;
471;1076;304;1079;1237;
472;1032;281;1099;1250;
473;1084;306;1046;1226;
474;1106;321;1044;1224;
475;1101;317;1102;1257;
476;1086;305;1098;1256;
477;1064;296;1046;1230;
478;1070;296;1111;1266;
479;1089;307;1067;1244;
480;1067;295;1081;1253;
481;1112;318;1081;1256;
482;1108;313;1084;1260;
483;1082;300;1065;1251;
484;1106;316;1080;1258;
485;1114;318;1108;1274;
486;1106;310;1122;1279;
487;1098;307;1088;1269;
488;1112;313;1122;1285;
489;1083;298;1143;1299;
490;1111;313;1142;1300;
491;1127;318;1164;1310;
492;1134;324;1139;1302;
493;1148;328;1130;1296;
494;1092;299;1117;1293;
495;1192;350;1129;1299;
496;1080;292;1173;1324;
497;1170;340;1116;1294;
498;1139;321;1134;1306;
499;1099;300;1135;1309;
500;1112;306;1140;1314;
501;1177;338;1171;1328;
502;1124;311;1170;1331;
503;1147;323;1149;1324;
504;1160;328;1160;1329;
505;1179;339;1167;1331;
506;1124;309;1180;1343;
507;1143;318;1139;1325;
508;1156;324;1161;1335;
509;1171;331;1159;1335;
510;1160;325;1200;1357;
511;1201;345;1150;1333;
512;1158;323;1167;1346;
513;1151;319;1163;1343;
514;1186;336;1194;1361;
515;1214;352;1155;1340;
516;1176;330;1160;1346;
517;1164;324;1157;1349;
518;1124;303;1181;1361;
519;1188;336;1170;1358;
520;1204;342;1185;1365;
521;1179;329;1204;1376;
522;1196;339;1175;1362;
523;1183;330;1212;1381;
