n;q1_a;q1_c;q2_a;q2_c
2332;65398;27642;50554;52025;
2333;71710;30061;61412;62448;
2334;68516;28853;54915;53870;
2335;63736;27908;54616;53486;
2336;70665;30458;60831;55145;
2337;67273;27866;50915;51781;
2338;73080;28830;49958;53070;
2339;60350;29443;54139;53025;
2340;69835;27621;64432;58538;
2341;65890;30815;51286;53044;
2342;68239;28343;51717;56566;
2343;67235;28406;55952;54226;
2344;68777;28648;59788;55026;
2345;64810;27941;55687;56299;
2346;64898;28885;53349;50523;
2347;65774;28187;56392;53961;
2348;72632;31106;53898;53944;
2349;69127;28171;51554;52706;
2350;67683;28731;59992;55530;
2351;67394;28090;50975;51426;
2352;70814;30275;51976;56225;
2353;75427;29624;54725;53515;
2354;65870;27973;53463;53182;
2355;74271;30466;56241;52843;
2356;70634;30102;63715;59487;
2357;60165;28224;56155;55595;
2358;70016;28924;54148;54201;
2359;65629;28118;59615;55194;
2360;62194;28264;54169;52131;
2361;79017;31328;57274;54252;
2362;67168;30730;54192;55940;
2363;68101;29065;61271;56014;
2364;66264;28907;50418;51669;
2365;70532;29506;54941;54913;
2366;73476;28813;52358;53176;
2367;76802;32553;53862;56804;
2368;69406;29201;62768;59360;
2369;65939;30050;55286;53153;
2370;61132;28522;53310;52596;
2371;79536;32214;52185;53500;
2372;64817;28693;49106;53221;
2373;80181;32722;51899;53536;
2374;68271;28134;50394;52833;
2375;75054;30424;52344;54192;
2376;75169;31742;56138;58426;
2377;68537;30107;56264;54912;
2378;62360;29436;54149;54333;
2379;63499;28699;54003;51992;
2380;68824;29437;55237;54201;
2381;80302;30149;54231;56344;
2382;63726;29457;54765;56481;
2383;67751;29520;59728;54787;
2384;64071;29138;52370;54759;
2385;71748;30334;58007;56631;
2386;87431;31720;66303;58763;
2387;62386;29892;55075;56245;
2388;70931;30552;48716;53437;
2389;66777;28283;58067;54419;
2390;72846;31149;56701;55169;
2391;69670;31006;54706;59215;
2392;71906;30316;53347;54463;
2393;69338;33392;52587;58001;
2394;64972;30284;52094;52884;
2395;68577;32336;49928;53129;
2396;61157;29512;53545;56449;
2397;73995;29861;62118;57770;
2398;76816;29800;56683;58429;
2399;76141;31586;51971;56929;
2400;70664;29687;56453;53558;
2401;74734;30213;59435;54867;
2402;72075;30902;58697;56479;
2403;66458;28538;63338;61416;
2404;68097;29520;56365;53619;
2405;66619;31969;56832;58872;
2406;67400;28933;55894;56956;
2407;74899;31113;62698;59577;
2408;69741;31238;55029;52691;
2409;81931;33077;58454;57187;
2410;67465;33472;61641;59565;
2411;76467;32847;56675;57396;
2412;66210;29291;53296;56242;
2413;66614;29036;55346;54180;
2414;63944;31520;57453;58934;
2415;65282;30534;56058;56114;
2416;65219;33576;53283;54983;
2417;85038;33244;56988;57052;
2418;73120;31819;55163;54442;
2419;71515;31322;57216;54443;
2420;70414;31010;57460;60482;
2421;72012;31009;60509;57119;
2422;70307;31127;58657;62045;
2423;70283;30057;57933;55442;
2424;72905;33616;57730;60861;
2425;66884;29948;60013;59190;
2426;70922;32187;56633;61260;
2427;68088;30673;54143;54270;
2428;71449;31204;55090;52871;
2429;70489;34169;55872;58899;
2430;67076;29101;56223;55575;
2431;70985;30932;53228;51828;
2432;60784;30224;52892;54548;
2433;73249;30757;56577;55646;
2434;70069;30518;63705;57704;
2435;74398;32206;56790;55238;
2436;76564;31248;62579;59367;
2437;79792;30985;58019;57346;
2438;81837;33029;59198;56791;
2439;64573;31422;66221;59372;
2440;74177;31382;71454;62418;
2441;63266;28591;53281;54665;
2442;65564;31743;56313;57248;
2443;90575;37030;62459;59411;
2444;79175;32029;61981;60536;
2445;82051;34701;56814;58571;
2446;79257;32659;59210;57255;
2447;71489;29845;53505;54783;
2448;73315;34026;60416;59720;
2449;70643;30617;61307;58096;
2450;77825;31381;60210;55198;
2451;77874;31614;59871;57818;
2452;72170;32589;56047;57616;
2453;75232;29204;58436;54688;
2454;73064;31917;57222;57634;
2455;82223;34505;62541;60918;
2456;71467;32471;57259;57426;
2457;67397;33026;57088;62922;
2458;79604;31174;61401;57526;
2459;70301;29838;52638;55945;
2460;72826;30151;64020;57932;
2461;65529;30914;57136;59955;
2462;81556;31919;66902;60021;
2463;69800;32340;57640;57981;
2464;68375;31973;54838;56152;
2465;69524;31425;53275;55896;
2466;68506;29547;57504;56328;
2467;77889;32129;61007;58577;
2468;70743;32777;54790;62019;
2469;68887;30583;59478;56056;
2470;69022;33309;56229;58606;
2471;65802;29818;52096;54979;
2472;74553;31248;58424;55115;
2473;73025;32476;59922;59978;
2474;70404;31272;58911;55214;
2475;70658;31346;57181;59373;
2476;67025;30737;59290;57397;
2477;66016;32212;56873;61525;
2478;70785;29025;54262;55545;
2479;84102;36937;55106;57201;
2480;68872;30179;59372;55602;
2481;69650;31910;63207;58907;
2482;73741;32041;55487;56346;
2483;78389;32012;55787;55823;
2484;74517;33979;57349;59052;
2485;67000;29528;56490;59292;
2486;74170;32769;53209;58046;
2487;62572;31404;61640;59649;
2488;78690;32734;57210;58627;
2489;88554;33520;64703;60659;
2490;72150;35123;58353;57453;
2491;75394;31308;60219;57623;
2492;70118;31813;55545;57975;
2493;65130;32877;54096;58334;
2494;68884;29080;55618;54686;
2495;67586;30028;56486;59822;
2496;72089;32544;64696;64428;
2497;79064;31700;56616;57101;
2498;73423;30879;65386;58956;
2499;72899;32050;58456;56127;
2500;84822;32876;67724;61822;
2501;73746;32322;59770;60885;
2502;78150;32117;59889;58005;
2503;66800;30157;66980;61026;
2504;79936;31249;56010;55764;
2505;70376;31643;54373;58736;
2506;70885;30273;56666;55426;
2507;65572;31739;56401;56490;
2508;72153;36486;61144;65165;
2509;83227;33015;55721;58896;
2510;82518;33583;55033;56806;
2511;76020;31573;61744;56783;
2512;69828;32834;57352;60182;
2513;74018;29855;57895;55350;
2514;73354;35070;69592;64606;
2515;76588;33080;57525;58241;
2516;74941;33163;58745;60803;
2517;65089;30831;56775;55707;
2518;68868;30799;59195;58110;
2519;71772;32905;57148;61134;
2520;74560;34356;55581;57728;
2521;70068;33821;54904;57312;
2522;72081;30711;55753;62070;
2523;86142;33579;57092;57536;
2524;70071;31107;56052;58399;
2525;75378;31924;56399;59274;
2526;71365;31249;52315;61220;
2527;71712;31287;57751;59615;
2528;83653;33386;53886;57095;
2529;70226;29673;63239;59245;
2530;65771;31285;54257;57147;
2531;73934;31048;61606;57174;
2532;74461;31328;63328;61144;
2533;77798;31683;57909;59511;
2534;76227;34557;59919;57310;
2535;74153;33362;56310;63597;
2536;65329;30465;59077;59785;
2537;79883;34574;59112;57979;
2538;84323;35097;58638;56923;
2539;78714;33990;72890;65474;
2540;75232;31597;53623;54788;
2541;67019;31925;60037;60727;
2542;68464;32285;58941;59885;
2543;76093;33926;61219;63139;
2544;88030;36966;60608;66102;
2545;90088;35417;56941;57588;
2546;81567;35441;69439;62451;
2547;69698;30027;57946;58806;
2548;77279;31006;65930;59790;
2549;85022;34294;57671;59551;
2550;71512;31408;60127;57677;
2551;77006;37653;60575;60630;
2552;85238;33417;60914;65761;
2553;89006;34646;67900;65611;
2554;86981;36140;67714;62237;
2555;73499;32104;58031;58839;
2556;69388;32461;59495;66236;
2557;64661;34135;58756;57850;
2558;72878;33350;61137;62362;
2559;75134;32618;60749;58505;
2560;73171;31346;58429;57533;
2561;83507;33264;63896;63271;
2562;87089;33994;59556;60250;
2563;93713;34895;60597;67105;
2564;88634;37593;63080;62396;
2565;77635;32030;58115;60407;
2566;82350;33867;60632;58357;
2567;92023;36825;66143;64474;
2568;75188;31723;62256;59836;
2569;75312;33287;61076;59255;
2570;85099;34576;64198;57944;
2571;84359;33576;62562;60597;
2572;67702;35037;59777;60046;
2573;89739;35541;62762;60668;
2574;73916;31498;69270;64364;
2575;77797;32463;62751;59059;
2576;76087;32039;58604;57108;
2577;73767;32654;64528;61337;
2578;73269;32867;59798;58298;
2579;80364;32845;64258;64380;
2580;76564;32126;59892;57867;
2581;74403;31154;61339;62690;
2582;75114;33552;57924;58026;
2583;70594;32165;60530;59638;
2584;78139;32263;58667;59018;
2585;71776;32062;58560;58979;
2586;82939;33076;63668;60323;
2587;70072;32603;57446;59263;
2588;70708;33578;56761;59732;
2589;75094;34640;60110;59755;
2590;75474;33736;65251;61080;
2591;81328;35159;60971;65624;
2592;66838;32541;62335;60686;
2593;78141;32920;65296;61094;
2594;90415;35983;66152;62884;
2595;84659;35287;64047;61735;
2596;75847;32561;64036;64913;
2597;77092;32500;61007;63536;
2598;72299;32366;65095;61924;
2599;75045;33138;62470;59331;
2600;84786;33146;64096;61851;
2601;67172;31122;56672;59570;
2602;88236;34422;56907;60449;
2603;86616;35148;64132;61703;
2604;75715;34051;65968;62569;
2605;70737;32243;62413;59923;
2606;80116;32977;62902;61716;
2607;76476;33820;58525;61456;
2608;76631;35800;59854;59858;
2609;74560;32104;65274;64448;
2610;75877;33141;59340;59742;
2611;70086;33391;65778;61684;
2612;83186;33935;62397;66108;
2613;85728;34772;57629;64673;
2614;80471;32034;60492;57758;
2615;72105;32255;63135;62580;
2616;78486;35136;57096;59648;
2617;75115;32233;57176;58620;
2618;76172;32675;58121;59813;
2619;90364;35721;64371;58624;
2620;81209;33659;60282;59555;
2621;79083;34134;62855;62229;
2622;80521;34519;60335;59280;
2623;78756;33137;64219;59029;
2624;86787;34163;66318;63301;
2625;75940;32086;67304;61163;
2626;71385;33410;61847;59411;
2627;86795;36047;59043;60392;
2628;75360;33817;64906;61192;
2629;88199;34875;69509;63514;
2630;91090;36315;69455;62978;
2631;82439;35857;65047;62572;
2632;80004;33203;63935;60116;
2633;74675;32750;61850;61622;
2634;74062;34811;58855;60164;
2635;100965;36357;66465;63839;
2636;72924;33039;62215;60863;
2637;78689;32952;60731;58672;
2638;72589;31798;63766;63090;
2639;82540;34722;61961;62386;
2640;78167;32825;59297;60594;
2641;74114;33427;62804;63961;
2642;76340;33544;61098;62654;
2643;81887;35429;60802;63558;
2644;76488;32272;64176;60490;
2645;74299;32792;62328;60870;
2646;85051;34460;64654;60980;
2647;84295;39293;58412;60838;
2648;78111;35242;61110;60577;
2649;70042;33464;57441;58263;
2650;77520;31279;60093;62958;
2651;79832;31992;69839;67491;
2652;83120;34266;59253;63457;
2653;76053;35731;58530;61789;
2654;77055;35646;70369;67057;
2655;67427;36378;67883;69410;
2656;81598;35136;60440;61618;
2657;95708;36424;68394;62860;
2658;91483;36676;66672;64212;
2659;77950;33502;73553;68284;
2660;84653;35601;68181;67959;
2661;79272;34886;60496;60186;
2662;68636;34791;63357;59721;
2663;77131;32553;66124;62857;
2664;75727;32570;63372;61503;
2665;75438;33633;60464;61214;
2666;70309;35057;62904;64434;
2667;83947;33550;69247;63340;
2668;72005;38495;58238;63563;
2669;70152;36214;58855;69412;
2670;82972;36545;61668;69227;
2671;83815;35731;63410;60938;
2672;91810;35914;63690;63958;
2673;79773;35181;64157;61917;
2674;76997;36755;61624;61694;
2675;82630;34113;64429;63921;
2676;76314;32666;68214;62516;
2677;67821;32651;60661;61699;
2678;74446;34007;63960;68145;
2679;81997;34566;59054;60360;
2680;76197;33905;63538;63648;
2681;72800;32547;58088;60070;
2682;95296;35782;70457;67272;
2683;75397;34019;65530;64889;
2684;87274;33625;69560;64400;
2685;76812;34403;61149;63193;
2686;91049;38147;80723;72233;
2687;70862;34905;70842;65748;
2688;73789;34552;61993;61880;
2689;80795;33407;61741;60060;
2690;78024;33316;64614;62112;
2691;77405;33400;64727;63127;
2692;82237;37787;61768;68207;
2693;77203;34899;64250;61174;
2694;85077;35608;66100;67389;
2695;77603;34421;58539;59130;
2696;80013;34877;61142;64161;
2697;76913;32500;71124;68299;
2698;74925;33655;65706;65442;
2699;72310;35086;61041;65859;
2700;76076;33421;62377;63167;
2701;76016;34045;62930;63391;
2702;80679;37172;60618;65510;
2703;91699;34983;65490;63938;
2704;94196;39010;64985;63600;
2705;74914;34664;62828;63179;
2706;81576;34999;59948;61025;
2707;74573;33042;63608;64001;
2708;73786;34810;65698;64599;
2709;74474;34508;64089;64284;
2710;76169;37404;60466;61983;
2711;78258;35693;62764;63199;
2712;81369;34487;65490;63781;
2713;73588;33938;66688;61807;
2714;80656;35299;62719;63861;
2715;74487;33009;63451;60596;
2716;92433;38099;67911;70563;
2717;80679;34248;63373;62894;
2718;87908;37498;56898;60960;
2719;85768;39842;61836;61534;
2720;85831;36700;65482;63714;
2721;73068;37043;62096;62911;
2722;69216;34314;61781;61438;
2723;81620;34471;66426;63295;
2724;80334;35551;62839;61128;
2725;93381;35987;68374;64546;
2726;95774;37025;66390;70317;
2727;78475;38410;75245;71496;
2728;82538;35047;65743;62071;
2729;84526;35328;58878;60901;
2730;95643;38406;66736;64858;
2731;76789;32616;62177;61171;
2732;84268;34000;64726;67931;
2733;80198;34211;67057;63390;
2734;91493;36535;65236;64457;
2735;75563;36407;59570;62917;
2736;79381;34201;66989;66348;
2737;77359;33903;68288;65499;
2738;83418;35543;66193;65396;
2739;76193;33780;62025;61619;
2740;100502;38062;72312;65711;
2741;73042;34259;62141;64995;
2742;72893;35037;64794;63905;
2743;83645;36514;66034;63897;
2744;107323;39269;64355;66185;
2745;76957;32977;68058;64520;
2746;78335;33264;63388;61166;
2747;86343;37658;65757;67358;
2748;81847;38016;62732;63971;
2749;82727;36406;68715;64494;
2750;77543;33359;66604;66120;
2751;92595;37192;68533;66562;
2752;75626;33164;65202;63150;
2753;74296;36911;62141;62410;
2754;80929;36824;62174;64243;
2755;89822;36450;64583;68758;
2756;86911;37676;66371;69864;
2757;79176;34545;72110;67664;
2758;95831;40469;62415;63610;
2759;89517;36388;61634;61154;
2760;88283;37776;67715;70312;
2761;82990;34982;65955;64898;
2762;75115;34660;66869;65014;
2763;76517;36051;69591;64091;
2764;86905;36548;67171;61914;
2765;77980;34769;64475;62828;
2766;81079;37160;65286;64295;
2767;97700;39878;65770;70565;
2768;79123;35859;63234;64211;
2769;90278;34225;71506;65004;
2770;82221;34833;63255;63073;
2771;76390;33837;63901;63429;
2772;89932;36303;64895;64374;
2773;71616;36743;74424;75018;
2774;78593;36773;69432;68523;
2775;103508;42958;70901;64573;
2776;77717;35402;60078;68826;
2777;77531;35149;67458;63539;
2778;80319;37298;64136;65265;
2779;83581;35241;68964;64408;
2780;78203;36171;65161;66626;
2781;87572;36914;68555;70083;
2782;75136;33556;69675;66533;
2783;88914;38200;66218;66709;
2784;78422;36850;63734;65014;
2785;82572;38089;66425;65269;
2786;84099;38121;65060;70787;
2787;77462;35206;70050;67569;
2788;89416;37248;72895;67816;
2789;79833;35791;68473;62937;
2790;77485;33864;61202;63052;
2791;81097;33875;60920;62135;
2792;81690;37354;68855;66180;
2793;83631;34924;65632;67647;
2794;80147;34106;69164;67363;
2795;80033;36026;69602;67500;
2796;82691;35877;64331;62940;
2797;70416;35513;62649;63606;
2798;79320;35427;61978;65847;
2799;79105;35887;61050;63606;
2800;79916;37675;66278;65268;
2801;88205;36080;70355;65226;
2802;89172;39310;64534;64606;
2803;94998;39647;68015;68545;
2804;76450;37227;66346;66708;
2805;76722;36532;68681;68519;
2806;85255;34536;63380;63948;
2807;82076;37259;64824;63703;
2808;93341;37920;68270;64974;
2809;80113;35393;66757;67073;
2810;89651;36583;80883;72114;
2811;76999;35933;64484;63164;
2812;76352;34200;66906;62824;
2813;91499;36085;71386;67370;
2814;83962;40177;66074;69254;
2815;92065;36792;70007;67258;
2816;84295;34708;65924;70408;
2817;81282;36034;64669;66352;
2818;92682;40778;73704;74732;
2819;74157;35603;65787;64217;
2820;93409;36369;68932;69017;
2821;89006;37687;65731;68630;
2822;80457;34738;64611;65607;
2823;80599;36924;71877;68757;
2824;83918;38501;70472;68533;
2825;81085;38520;70427;68206;
2826;86214;36830;65687;64894;
2827;71102;38087;68880;68951;
2828;95609;36997;67024;69388;
2829;76888;34967;65316;65171;
2830;88458;39943;68815;66429;
2831;87050;35487;64418;63591;
2832;83964;37970;67416;65728;
2833;84793;39794;68986;75103;
2834;80472;35871;69291;65973;
2835;77500;37273;66519;65284;
2836;92498;38979;80836;70833;
2837;76541;36344;62864;66013;
2838;74887;35992;66998;69890;
2839;88234;36726;67026;65837;
2840;76518;37853;67114;67266;
2841;82347;37694;79552;78859;
2842;76972;38832;60926;65527;
2843;88689;38774;62874;64838;
2844;86061;38177;64586;66161;
2845;91348;40644;72486;75476;
2846;84977;36647;64349;65315;
2847;83780;40053;67269;67519;
2848;83577;37109;67382;65600;
2849;94134;36419;68278;65811;
2850;77747;36860;63506;68351;
2851;81620;35728;65007;65304;
2852;86916;36855;72249;69940;
2853;87188;35958;72844;73660;
2854;96644;38718;75402;71493;
2855;79966;35080;68557;65579;
2856;93022;39367;68393;66353;
2857;89207;37330;68162;67801;
2858;82520;35942;70875;69820;
2859;78124;36564;66477;70046;
2860;95529;40145;70956;68467;
2861;87636;38594;72582;70452;
2862;79637;37655;68989;67154;
2863;79815;36274;72382;69275;
2864;81356;37125;73703;68764;
2865;78343;36112;70265;68898;
2866;85513;35851;67542;68381;
2867;81615;36839;68024;69149;
2868;86705;37524;70790;72116;
2869;85351;38870;70969;66331;
2870;79732;35403;72568;69772;
2871;90369;37564;74418;69795;
2872;92068;39953;65396;66563;
2873;90608;41522;61180;71696;
2874;81459;38218;66351;67221;
2875;90332;35309;81634;70599;
2876;75499;37653;69364;71439;
2877;81732;39588;74467;74482;
2878;77824;35528;64287;68390;
2879;90412;37188;69731;69630;
2880;79429;37346;66879;70829;
2881;88024;34887;65791;68924;
2882;81339;36717;67667;65558;
2883;85354;36819;71263;72246;
2884;85683;37159;68424;69886;
2885;83879;36302;66943;68414;
2886;83038;35656;67514;67894;
2887;83476;35152;70061;66423;
2888;85937;37810;71142;70872;
2889;83078;35870;67574;66626;
2890;80964;37657;68413;66101;
2891;86472;38523;75127;74027;
2892;83995;36830;65783;67162;
2893;91369;36745;66328;66059;
2894;82786;37561;68830;71898;
2895;80618;34741;67222;67294;
2896;80148;35375;74957;71700;
2897;81796;37917;70091;71674;
2898;86971;35888;75185;70089;
2899;88764;38219;67769;71755;
2900;86322;37985;73090;69196;
2901;78503;35681;70451;68499;
2902;91936;42380;68343;72779;
2903;83500;38617;66547;71144;
2904;114351;43071;74363;70618;
2905;96713;40443;69464;66550;
2906;85815;38614;73592;68628;
2907;91404;39059;65773;66040;
2908;98851;39987;67482;68763;
2909;96305;42049;76240;72354;
2910;80451;37085;72011;67636;
2911;87874;37225;70847;69998;
2912;81327;37749;66917;67992;
2913;88502;37328;76762;71261;
2914;79415;37014;74323;71626;
2915;94319;40544;63945;67532;
2916;78310;36763;64864;66547;
2917;84282;35610;76123;76896;
2918;77489;37015;68063;69070;
2919;83795;35644;71915;66393;
2920;81704;35571;66252;65802;
2921;90456;37415;68682;69814;
2922;93729;37105;69656;68089;
2923;86901;36845;73857;69531;
2924;83770;38268;65990;68393;
2925;88086;39766;70422;73237;
2926;84709;36753;71345;68588;
2927;80450;37928;69122;70266;
2928;86581;40154;72055;69252;
2929;93024;39274;64123;70725;
2930;94021;38441;67364;68298;
2931;84057;38755;64716;68631;
2932;82644;36772;75654;74303;
2933;89804;38486;70403;67555;
2934;85754;36386;62507;67892;
2935;98250;42821;73361;69499;
2936;76479;38170;68391;77112;
2937;90969;40645;69928;69759;
2938;93431;41458;70811;72689;
2939;95551;41152;83545;80339;
2940;84641;38649;73640;75050;
2941;87114;40321;66816;66508;
2942;77874;37753;72457;70988;
2943;87929;37495;73007;69167;
2944;83741;43943;70348;73252;
2945;93282;37934;67057;68321;
2946;88020;38024;69715;67332;
2947;108232;40395;86960;77005;
2948;80139;38733;67528;69061;
2949;99520;40101;74978;74595;
2950;99325;41222;71486;74057;
2951;85407;40607;70917;68593;
2952;84195;37098;69156;67429;
2953;89493;37778;69690;67933;
2954;99421;40975;76434;73120;
2955;85473;37762;68716;70294;
2956;84890;41443;70247;68764;
2957;90929;37039;70308;69844;
2958;87046;42188;74463;72022;
2959;85251;39303;68908;69992;
2960;94008;38484;71033;71942;
2961;82638;35254;68176;69007;
2962;81987;37642;75525;71614;
2963;91226;37059;73604;69311;
2964;89081;39248;80214;78332;
2965;80054;39430;73154;68587;
2966;99542;42887;77221;77410;
2967;86691;36697;71554;67606;
2968;99423;41647;77072;72861;
2969;91812;37035;77448;74457;
2970;101635;42227;73303;71824;
2971;84037;37751;71967;68774;
2972;97486;41728;75907;72096;
2973;79999;37429;65812;67771;
2974;85169;39720;65907;67075;
2975;90049;38298;74311;71711;
2976;90573;37538;79569;71996;
2977;91801;40430;81458;72398;
2978;91964;41448;71511;72792;
2979;84855;39200;69836;73271;
2980;91075;37859;69293;68632;
2981;103219;42558;70311;77021;
2982;91771;38010;71954;70575;
2983;86926;37176;74595;69468;
2984;87821;37313;68250;69556;
2985;96160;39995;72790;74728;
2986;85177;37807;67299;68726;
2987;91101;41808;71831;68785;
2988;83699;38050;76745;74393;
2989;82810;37967;66296;68721;
2990;83892;40096;71503;72479;
2991;87986;38597;69953;68028;
2992;86109;41678;70953;70010;
2993;90302;38935;73217;72444;
2994;82170;40250;67189;69795;
2995;83689;38811;67263;69912;
2996;95489;40578;100453;87092;
2997;101025;42211;81688;75264;
2998;89137;40546;68969;68870;
2999;82573;39361;76148;71701;
3000;104386;42208;73279;72816;
3001;83810;38311;73535;70127;
3002;90321;37807;71555;73574;
3003;92980;40886;72664;73234;
3004;83563;38266;75890;72332;
3005;84504;36926;69591;70157;
3006;90795;40016;71608;71426;
3007;90768;37407;68967;73400;
3008;92816;43886;77139;71389;
3009;98341;42152;71662;71260;
3010;84254;38654;75531;70446;
3011;91760;37668;78195;70899;
3012;92014;40242;80721;77543;
3013;87403;37588;70390;69550;
3014;76848;40684;74179;71526;
3015;92139;38959;70453;71276;
3016;86702;38442;76513;71711;
3017;89048;39909;81237;72744;
3018;84514;39380;71018;73534;
3019;81554;39802;76884;69896;
3020;90761;40010;69943;69956;
3021;84990;36423;73600;68955;
3022;99644;41730;67917;68432;
3023;96808;45158;70193;68718;
3024;121553;45818;79884;85031;
3025;96307;38295;71370;69668;
3026;91198;44049;65505;70331;
3027;91873;40267;77779;75327;
3028;81790;40046;67895;68752;
3029;90643;38959;81188;73018;
3030;89879;39729;70258;69262;
3031;108824;40907;71059;69721;
3032;98763;40617;71927;69228;
3033;79048;40994;70827;72029;
3034;97533;41727;86295;82739;
3035;96640;42304;84797;80749;
3036;97321;40568;82199;76195;
3037;93657;38746;68250;69703;
3038;90003;40113;73002;71200;
3039;86020;37724;80163;77341;
3040;91443;41959;68728;73981;
3041;90238;39592;73010;69539;
3042;107803;43018;72652;74206;
3043;87282;38416;78458;74112;
3044;89935;40839;67926;71032;
3045;83429;43257;74602;77320;
3046;95754;38394;82040;75200;
3047;99610;38960;69490;70727;
3048;81402;38107;73715;71793;
3049;97692;39905;71734;69529;
3050;97492;41037;73502;70278;
3051;103270;39286;74560;72725;
3052;91605;39835;76694;71596;
3053;93983;41400;79357;73889;
3054;92988;41006;75185;76576;
3055;85867;40948;73621;70220;
3056;94115;37400;68616;69748;
3057;83436;39439;74098;73780;
3058;88974;39215;71082;70779;
3059;91038;41048;74738;71297;
3060;82289;40355;71348;77970;
3061;83322;39982;69711;70208;
3062;89622;39512;75481;71705;
3063;94556;41782;70233;71590;
3064;88997;38828;88031;76038;
3065;81655;37929;74576;72793;
3066;91417;39453;76421;74207;
3067;85083;40652;73876;72688;
3068;100542;43733;72281;71789;
3069;85585;39306;69270;71571;
3070;96682;39648;71725;72824;
3071;89808;40357;70191;71743;
3072;87206;40116;74527;72543;
3073;94135;42024;75092;74094;
3074;100089;41319;72827;72192;
3075;86241;39650;77944;76306;
3076;93637;41369;72199;72995;
3077;99031;44949;70215;74576;
3078;96957;41399;77184;74301;
3079;88308;38724;78419;75418;
3080;94106;41230;73049;71965;
3081;92963;40081;75558;75824;
3082;89435;41591;79817;74352;
3083;100105;42683;68899;74684;
3084;88228;39479;72489;73355;
3085;100719;38802;75357;73236;
3086;102271;41382;89473;82214;
3087;90103;38542;67130;69761;
3088;82418;40231;70986;73298;
3089;102118;41427;71008;74095;
3090;96568;41964;70923;73219;
3091;97837;43324;72427;72588;
3092;90034;40566;77224;75821;
3093;95364;40258;77572;73265;
3094;87390;39855;73903;70846;
3095;89565;41881;80349;75890;
3096;94209;40798;76439;77333;
3097;99174;40639;76261;77405;
3098;97498;44996;71909;78878;
3099;108111;41837;84090;79150;
3100;84556;42297;67845;71994;
3101;90155;39294;78895;76533;
3102;87460;37245;73202;75359;
3103;89773;39321;74543;72200;
3104;102182;41515;75622;73928;
3105;85997;39378;70948;71431;
3106;104163;40873;77238;73169;
3107;95739;41544;73421;74663;
3108;91511;37915;71208;72675;
3109;92517;40207;73246;72153;
3110;97410;40869;71077;73947;
3111;107051;43591;76854;73695;
3112;92029;40939;74568;72241;
3113;99521;44516;71885;78645;
3114;90183;38143;79501;75338;
3115;94500;38069;80558;78724;
3116;92333;39836;70119;71634;
3117;87334;38565;76832;73755;
3118;93480;37996;78283;75372;
3119;92883;39294;75770;75133;
3120;104012;40824;79243;72853;
3121;112938;44695;78740;80256;
3122;91385;40456;71458;71970;
3123;99591;39540;75209;73259;
3124;98179;45623;77134;77902;
3125;89101;41081;71770;75169;
3126;79251;42259;75263;74443;
3127;98131;41781;69116;73568;
3128;96886;44123;84142;80982;
3129;104884;41267;75188;72212;
3130;85464;40311;75827;72943;
3131;101181;43353;71494;74552;
3132;100394;42282;74918;78045;
3133;85846;38331;76878;74677;
3134;90589;38808;76025;73610;
3135;84578;40527;77060;75267;
3136;92266;39745;84681;84631;
3137;92673;38785;70390;71774;
3138;94417;40309;73839;74280;
3139;95021;42070;70841;71296;
3140;85716;40269;81096;76051;
3141;91798;39505;73702;74148;
3142;87111;40128;77713;78248;
3143;96551;40811;75494;74805;
3144;89860;41661;77270;75166;
3145;97898;40774;74273;71929;
3146;95259;39353;76254;73826;
3147;97681;39355;73724;75917;
3148;94061;44108;97021;86238;
3149;93045;41467;73579;77743;
3150;91101;42336;71596;73061;
3151;103809;42435;78763;77267;
3152;96542;43767;77973;82467;
3153;92311;39660;96880;85738;
3154;88336;40655;74720;75089;
3155;88489;41179;77807;73270;
3156;89710;40960;73300;73156;
3157;93232;39654;80011;78980;
3158;91550;42561;78514;75330;
3159;104340;43952;72108;72772;
3160;106875;45059;68961;72400;
3161;102642;40547;83846;77655;
3162;100446;40961;75390;77471;
3163;92631;40077;86023;77350;
3164;92550;42166;72425;74317;
3165;89075;39211;77366;75802;
3166;94917;42095;77253;76839;
3167;104435;40737;71856;71258;
3168;101346;42325;77027;73421;
3169;94328;41667;79928;82163;
3170;93190;41036;79750;80811;
3171;90066;39417;79061;75081;
3172;91410;44886;72095;75282;
3173;101906;43558;75873;75443;
3174;98540;40587;86861;81607;
3175;93504;39557;74747;74117;
3176;93710;40272;76433;75221;
3177;103606;41053;77423;74464;
3178;94705;41419;79258;76986;
3179;101617;41897;85420;78940;
3180;90288;42815;72899;70480;
3181;110422;44563;87913;80937;
3182;98495;43625;71141;80099;
3183;93705;46247;72048;76578;
3184;83915;40548;76500;77060;
3185;95420;41495;75326;78578;
3186;94696;41313;75059;74608;
3187;88990;41589;75987;77146;
3188;89162;41100;71359;74936;
3189;111245;44394;76758;78963;
3190;104337;47600;71755;76126;
3191;89268;40665;82288;76727;
3192;95394;46457;79058;81368;
3193;89669;43558;72730;77525;
3194;93388;43047;80551;77962;
3195;89575;41005;72349;72542;
3196;97776;41790;82719;75692;
3197;112038;46172;71093;74770;
3198;102019;46131;70822;73692;
3199;101245;42875;91604;85196;
3200;91227;40383;75056;72164;
3201;101042;43735;77271;76698;
3202;100478;42467;90380;83008;
3203;103332;48583;72602;77673;
3204;98670;45067;75031;78167;
