n;q1_a;q1_c;q2_a;q2_c
238;4959;2013;3688;3770;
239;4672;1908;3395;3644;
240;5062;2227;4397;3944;
241;5357;1893;3523;3764;
242;4434;2016;4095;3797;
243;5711;2119;4905;4318;
244;4347;1831;3970;4157;
245;4633;2139;4312;4174;
246;5408;2093;3576;3892;
247;4484;1992;3843;3788;
248;3891;2360;3887;3999;
249;7089;2296;4201;3970;
250;5611;2037;3977;3897;
251;5834;2078;3932;4035;
252;5924;2114;3628;4146;
253;5207;2193;4887;4633;
254;4526;1999;3831;4043;
255;4304;2183;3951;4199;
256;4229;1911;4598;4141;
257;4227;2002;3507;4167;
258;5093;2065;4047;4097;
259;6276;2133;4385;4107;
260;5006;2052;4223;4522;
261;5129;1983;3711;4206;
262;4879;1987;4114;4266;
263;4792;1963;3982;4203;
264;5500;2436;4119;3916;
265;5359;2147;4803;4348;
266;4856;2340;4081;4610;
267;5354;1948;4426;4155;
268;5557;2682;3943;4340;
269;5335;2031;4808;4374;
270;5854;2178;4903;4778;
271;5217;2135;4246;4343;
272;6151;2455;4417;4852;
273;4845;2225;4141;4250;
274;6581;2697;5399;4913;
275;5786;2241;4425;4273;
276;5426;2077;3912;4252;
277;6515;2333;4389;4470;
278;6410;2565;4227;4437;
279;4959;2084;4513;4519;
280;5203;2217;4485;4811;
281;5871;2316;5273;5130;
282;6789;2849;4746;5135;
283;5646;2204;4575;4412;
284;6449;2430;4777;4683;
285;5528;2459;4705;4607;
286;6696;2539;5107;5415;
287;5672;2383;4741;4652;
288;6139;2537;4935;4702;
289;5415;2309;5134;4773;
290;4866;2293;4763;4834;
291;5603;2336;4545;4557;
292;5065;2533;4502;4891;
293;6062;2608;4991;4750;
294;6205;2591;4984;5031;
295;6646;2632;4419;4573;
296;6913;2902;5323;5274;
297;5566;2215;4601;4812;
298;7815;2670;5346;5035;
299;6868;2708;4739;4766;
300;6396;2521;4923;5121;
301;6313;2723;4439;4591;
302;6196;2803;5158;4909;
303;8750;2886;5034;5216;
304;6973;2853;5534;5069;
305;6441;2675;6197;5587;
306;6014;2569;5000;4827;
307;5628;2447;4841;5043;
308;6810;2833;5280;5316;
309;5549;2506;5203;4983;
310;6880;2566;4628;4815;
311;5709;2394;4975;5512;
312;6958;2931;5663;5135;
313;5756;2386;5118;5166;
314;6012;2433;5019;4857;
315;5778;2561;5806;5521;
316;7606;2671;5727;5381;
317;7774;2871;5245;5047;
318;7616;3055;4648;5129;
319;7488;2761;4909;5392;
320;8184;3037;5634;5079;
321;7911;2839;5051;5152;
322;7321;2824;4972;5407;
323;6253;2500;5172;5474;
324;6902;2916;5997;5809;
325;7160;2775;5369;5623;
326;6166;2825;5812;5541;
327;8205;3180;5508;5939;
328;6314;2638;5799;5626;
329;6795;2602;5405;5439;
330;6312;2880;5481;5413;
331;7190;2974;5457;5298;
332;7146;2873;5091;5367;
333;7572;3133;5500;6231;
334;7369;3089;5260;5691;
335;7702;3108;4999;5873;
336;7969;2932;6183;5759;
337;7089;3052;5475;5981;
338;6577;3163;5825;5957;
339;6871;2876;6544;6230;
340;7565;3078;6385;6183;
341;6984;2783;5815;5541;
342;6934;2858;5850;5611;
343;7810;3097;6642;6145;
344;7484;2877;5561;5557;
345;6904;2868;5870;6019;
346;9296;3472;5784;5975;
347;8829;3234;6176;6053;
348;7296;3176;5459;5602;
349;7599;2862;5623;5897;
350;7668;2963;6407;5873;
351;7064;2872;6021;5923;
352;6841;3034;5193;5747;
353;6396;3076;5907;6288;
354;7210;3093;5392;6154;
355;7739;3011;5840;6229;
356;8010;3137;6461;6167;
