DataSize,RecursiveTime(us),MemorizedTime(us),BottomUpTime(us)
344,-1,2881,684
345,-1,1690,482
346,-1,1625,425
347,-1,1980,436
348,-1,1561,435
349,-1,1668,433
350,-1,1672,431
351,-1,1677,433
352,-1,1911,652
353,-1,1590,439
354,-1,1725,451
355,-1,1750,443
356,-1,1719,445
357,-1,2610,468
358,-1,2010,458
359,-1,1882,455
360,-1,1765,456
361,-1,1795,464
362,-1,1795,486
363,-1,1844,465
364,-1,1782,466
365,-1,1807,468
366,-1,1918,538
367,-1,1723,481
368,-1,1859,478
369,-1,1841,477
370,-1,1857,480
371,-1,1866,484
372,-1,1909,494
373,-1,1768,489
374,-1,2005,521
375,-1,1792,499
376,-1,2240,544
377,-1,2063,506
378,-1,1848,506
379,-1,1999,509
380,-1,1943,506
381,-1,2510,530
382,-1,1998,513
383,-1,1979,521
384,-1,2070,517
385,-1,2098,522
386,-1,1901,523
387,-1,2015,524
388,-1,2142,527
389,-1,2018,530
390,-1,2088,541
391,-1,1960,536
392,-1,2140,538
393,-1,2059,543
394,-1,2462,556
395,-1,2189,552
396,-1,2658,559
397,-1,2146,551
398,-1,2260,566
399,-1,2020,556
400,-1,2315,571
401,-1,2043,562
402,-1,2203,639
403,-1,2081,569
404,-1,2181,570
405,-1,2176,573
406,-1,2495,1138
407,-1,2098,586
408,-1,2246,593
409,-1,2273,588
410,-1,2992,803
411,-1,2386,590
412,-1,2251,591
413,-1,2253,594
414,-1,2466,607
415,-1,2349,610
416,-1,2317,610
417,-1,2384,606
418,-1,3327,670
419,-1,2231,614
420,-1,2345,615
421,-1,2552,616
422,-1,2667,630
423,-1,2507,636
424,-1,2390,627
425,-1,2440,651
426,-1,2664,643
427,-1,3111,923
428,-1,2707,646
429,-1,2730,686
430,-1,2423,645
431,-1,2481,655
432,-1,2574,650
433,-1,2596,660
434,-1,2495,655
435,-1,2491,669
436,-1,2493,660
437,-1,2498,680
438,-1,2559,679
439,-1,2530,670
440,-1,2583,1057
441,-1,2642,688
442,-1,2567,680
443,-1,2718,681
444,-1,2961,699
445,-1,2721,697
446,-1,2717,694
447,-1,2705,706
448,-1,2927,800
449,-1,2704,709
450,-1,2748,711
451,-1,2859,815
452,-1,2740,768
453,-1,2913,723
454,-1,2594,939
455,-1,2605,718
456,-1,2739,724
457,-1,2733,723
458,-1,2889,737
459,-1,2789,730
460,-1,2788,746
461,-1,3608,833
462,-1,2791,740
463,-1,2792,741
464,-1,2798,859
465,-1,3326,1342
466,-1,4728,1313
467,-1,3033,767
468,-1,3266,770
469,-1,2759,771
470,-1,2911,1069
471,-1,3325,779
472,-1,2799,772
473,-1,2946,785
474,-1,3308,791
475,-1,3011,781
476,-1,2956,790
477,-1,3689,804
478,-1,2870,793
479,-1,3017,801
480,-1,3496,812
481,-1,3056,800
482,-1,3011,805
483,-1,3444,816
484,-1,3214,819
485,-1,3058,815
486,-1,3185,858
487,-1,3397,832
488,-1,2974,825
489,-1,3177,1140
490,-1,3002,831
491,-1,3138,842
492,-1,3475,1110
493,-1,3105,843
494,-1,3282,843
495,-1,3499,1020
496,-1,3326,849
497,-1,3216,872
498,-1,3467,880
499,-1,3245,861
500,-1,3372,871
501,-1,3770,876
502,-1,3397,878
503,-1,3288,879
504,-1,3707,888
505,-1,3197,884
506,-1,3309,889
507,-1,3728,1278
508,-1,3437,893
509,-1,3467,915
510,-1,3875,906
511,-1,3392,904
512,-1,3519,912
513,-1,4332,916
514,-1,3415,914
515,-1,3546,1185
516,-1,3487,922
517,-1,3569,919
518,-1,4017,939
519,-1,3470,937
520,-1,3487,935
521,-1,3850,946
522,-1,3543,943
523,-1,3530,948
524,-1,4250,957
525,-1,3568,954
526,-1,3638,1154
527,-1,3720,963
528,-1,3567,971
529,-1,4584,974
530,-1,3729,969
531,-1,3777,981
532,-1,3591,995
533,-1,3641,978
534,-1,4081,1092
535,-1,4975,1627
536,-1,3921,997
537,-1,3904,1021
538,-1,3756,1006
539,-1,4214,1055
540,-1,3744,1008
541,-1,3857,1022
542,-1,4203,1023
543,-1,3668,1017
544,-1,3990,1511
545,-1,3756,1024
546,-1,3917,1039
547,-1,4470,1044
548,-1,3889,1037
549,-1,4004,1401
550,-1,5075,1273
551,-1,6042,1451
552,-1,4143,1054
553,-1,4087,1052
554,-1,4546,1071
555,-1,3859,1060
556,-1,4333,1110
557,-1,4823,1072
558,-1,3879,1078
559,-1,4398,1085
560,-1,3909,1076
561,-1,4860,1094
562,-1,3953,1090
563,-1,4214,1089
564,-1,4484,1184
565,-1,3982,1100
566,-1,4492,1115
567,-1,4010,1108
